;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Див доход, ао, %";;0.0%;0.0%;0.0%;0.0%;0.0%;;;;0.0%;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;3.6%;0.0%;0.0%;0.0%;7.6%;0.0%;0.0%;0.0%;6.4%;0.0%;0.0%;0.0%;6.8%;0.0%;0.0%;0.0%;7.2%;0.0%;0.0%;0.0%;6.6%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;;;;;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;51%;0%;0%;0%;71%;0%;0%;0%;146%;0%;0%;0%;"1 038%";0%;0%;0%;92%;0%;0%;0%;344%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;0
"Опер. расходы, млрд руб";;;;;;;;;;85.7;84.8;69.8;71.5;89.0;87.0;71.9;68.1;88.8;78.9;68.9;68.5;87.6;84.8;70.4;73.7;85.9;86.7;76.5;74.2;99.2;88.3;76.3;77.8;97.6;96.8;84.0;84.3;103.6;101.6;94.0;91.5;121.7;121.6;107.4;102.8;142.1;140.9;118.5;118.1;154.2;151.0;128.0;130.3;;563.5
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.9;8.8;9.1;;9.6;10.2;10.0;9.8;9.7;9.7;10.6;;39.9
"Расх на персонал, млрд руб";;;;;;;;;;17.7;17.8;18.1;16.7;20.3;18.3;17.7;16.5;19.2;18.7;17.7;17.0;21.0;19.0;18.2;18.0;20.7;19.2;19.9;18.3;23.0;19.6;20.0;18.3;22.3;19.9;20.2;19.3;24.4;20.7;21.8;24.0;27.2;25.2;26.0;24.1;31.7;29.2;28.1;28.1;35.6;33.5;32.4;34.1;;135.6
"Процентные расходы, млрд руб";;;;;;;;;;;2.41;2.77;5.10;9.22;5.19;4.44;5.40;5.24;4.49;0.681;6.75;3.87;4.35;2.51;4.03;3.34;3.59;3.38;4.39;3.14;3.98;3.11;3.91;3.80;3.60;3.20;5.00;1.53;3.87;4.04;3.45;5.24;4.44;5.03;7.58;8.85;12.8;13.4;17.2;21.4;14.7;10.8;11.4;;58.3
"Активы, млрд руб";426.0;483.0;745.0;812.0;854.0;852.0;868.0;883.4;878.0;884.0;900.0;924.0;957.4;938.1;958.0;978.0;982.0;983.4;"1 006";"1 022";"1 050";"1 028";"1 061";"1 061";"1 064";931.9;952.0;956.6;957.0;925.1;952.2;953.0;975.4;942.0;946.0;961.0;964.0;930.5;946.4;966.2;977.8;993.4;"1 058";"1 086";"1 116";"1 164";"1 200";"1 251";"1 323";"1 366";"1 402";"1 489";"1 590";;"1 590"
"Чистые активы, млрд руб";342.0;401.0;510.0;498.0;515.0;580.0;591.0;595.6;583.0;595.2;593.0;597.0;604.6;613.9;627.4;630.3;646.4;646.7;669.3;694.0;704.1;692.8;714.7;718.2;722.2;576.4;592.2;591.3;598.2;565.7;590.7;605.0;616.7;600.0;619.0;617.0;639.0;619.7;639.7;626.3;618.5;613.6;646.2;644.4;653.2;630.3;647.2;656.1;656.7;578.3;597.4;609.4;610.2;;610.2
"Долг, млрд руб";23.4;21.9;82.8;124.0;141.0;151.8;157.0;164.5;174.6;177.0;175.6;192.0;225.2;197.4;196.0;208.0;216.6;199.8;150.4;163.0;187.5;190.2;175.9;166.5;174.4;228.7;197.1;190.9;201.0;202.0;200.4;196.0;206.3;206.0;184.0;189.0;201.0;170.9;159.0;174.9;201.3;221.8;254.2;265.0;316.8;356.5;372.6;412.2;467.0;567.5;570.4;635.5;730.3;;730.3
"Наличность, млрд руб";29.7;58.6;52.8;57.3;93.6;87.6;93.4;91.0;83.7;72.3;72.3;72.6;86.7;70.6;77.7;82.1;73.8;76.5;89.0;91.8;93.2;74.6;73.8;81.0;74.5;99.3;101.8;90.3;78.2;97.0;110.0;117.7;122.0;114.0;110.1;118.0;100.4;66.8;69.1;61.4;43.4;41.2;42.0;39.3;27.7;34.7;49.0;50.0;50.0;91.3;72.8;82.3;107.2;;107.2
"Чистый долг, млрд руб";-6.30;-36.7;30.0;66.7;47.4;64.2;63.6;73.5;90.9;104.8;103.3;119.4;138.5;126.8;118.3;125.9;142.8;123.3;61.4;71.2;94.3;115.6;102.1;85.5;99.9;129.4;95.3;100.6;122.8;105.0;90.4;78.3;84.3;92.0;73.9;71.0;100.6;104.1;89.9;113.5;157.9;180.6;212.1;225.7;289.1;321.8;323.6;362.2;417.0;476.2;497.6;553.2;623.1;0.00;623.1
"Цена акции ао, руб";;1.14;1.65;0.966;0.734;0.568;;;;0.542;;0.551;0.610;0.680;0.696;0.616;0.775;0.926;0.933;0.796;0.851;0.729;0.770;0.676;0.621;0.486;0.501;0.600;0.522;0.555;0.603;0.732;0.765;0.784;0.813;0.868;0.809;0.742;0.714;0.785;0.677;0.761;0.820;0.866;0.875;0.712;0.716;0.673;0.544;0.516;0.497;0.475;0.410;0.417;0.435
"Число акций ао, млн";"444 793";;"288 695";"290 303";"317 638";"386 225";"439 289";"439 289";"439 289";"386 225";"386 225";"386 225";"386 225";"386 225";"386 225";"386 225";"386 225";"386 225";"386 225";"386 225";"386 225";"426 288";"426 288";"426 288";"426 288";"426 288";"426 288";"426 288";"426 288";"426 288";"426 288";"426 288";"426 288";"439 289";"439 289";"439 289";"439 289";"439 289";"439 289";"439 289";"439 289";"444 793";"444 793";"444 793";"444 793";"444 793";"444 793";"444 793";"444 793";"444 793";"444 793";"444 793";"444 793";"444 793";"444 793"
"Free Float, %";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0%;15.0%;15.0%;15.0%;;15.0%
"Капитализация, млрд руб";0.00;0.00;476.1;280.4;233.0;219.2;0.00;0.00;0.00;209.1;0.00;213.0;235.6;262.6;268.6;237.9;299.3;357.6;360.3;307.5;328.8;310.7;328.2;288.0;264.6;207.1;213.5;255.9;222.4;236.7;257.1;312.0;325.9;344.5;357.2;381.2;355.6;325.8;313.4;344.7;297.5;338.3;364.8;385.2;389.0;316.7;318.5;299.2;242.1;229.7;221.2;211.1;182.1;185.5;193.5
"EV, млрд руб";-6.30;-36.7;506.1;347.1;280.4;283.3;63.6;73.5;90.9;313.9;103.3;332.4;374.1;389.4;386.9;363.8;442.1;480.9;421.7;378.7;423.1;426.3;430.3;373.5;364.4;336.5;308.8;356.6;345.1;341.7;347.5;390.3;410.2;436.5;431.1;452.2;456.2;429.9;403.3;458.2;455.4;518.8;577.0;610.9;678.1;638.5;642.1;661.4;659.1;705.9;718.8;764.3;805.2;185.5;816.6
"Баланс стоимость, млрд руб";342.0;401.0;509.7;497.7;515.0;580.0;591.0;595.6;583.0;595.2;593.0;597.0;604.6;613.9;627.4;630.3;646.4;646.7;669.3;694.0;704.1;692.8;714.7;718.2;722.2;576.4;592.2;591.3;598.2;565.7;590.7;605.0;616.7;600.0;619.0;617.0;639.0;619.7;639.7;626.3;618.5;613.6;646.2;644.4;653.2;630.3;647.2;656.1;656.7;578.3;597.4;609.4;610.2;0.00;610.2
"EPS, руб";0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.02;0.01;0.06;0.04;0.03;0.03;0.06;0.05;0.03;0.02;0.05;0.05;0.04;0.02;0.05;0.04;0.04;0.02;0.03;0.06;0.05;0.04;0.01;0.05;0.05;0.03;0.06;0.05;0.03;0.01;0.01;0.06;0.05;0.02;0.04;0.04;0.02;0.00;0.10;0.04;0.03;0.00;0.00;0.17
"FCF/акцию, руб";0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.02;0.00;0.01;0.04;0.01;-0.02;0.01;0.03;-0.05;-0.05;-0.05;-0.07;-0.02;-0.10;-0.07;0.00;-0.08;-0.13;-0.11;-0.04;-0.11;-0.14;0.00;-0.41
"BV/акцию, руб";0.77;;1.77;1.71;1.62;1.50;1.35;1.36;1.33;1.54;1.54;1.55;1.57;1.59;1.62;1.63;1.67;1.67;1.73;1.80;1.82;1.63;1.68;1.68;1.69;1.35;1.39;1.39;1.40;1.33;1.39;1.42;1.45;1.37;1.41;1.40;1.45;1.41;1.46;1.43;1.41;1.38;1.45;1.45;1.47;1.42;1.46;1.48;1.48;1.30;1.34;1.37;1.37;0.00;1.37
"Рентаб EBITDA, %";;;;;;;;;;21.6%;19.6%;18.5%;18.1%;23.8%;25.3%;24.0%;26.5%;31.4%;29.3%;25.3%;29.6%;35.0%;32.1%;34.2%;24.2%;31.8%;26.9%;25.8%;25.4%;27.8%;34.5%;35.4%;27.6%;28.1%;31.3%;33.7%;28.6%;27.1%;30.3%;26.3%;16.9%;13.5%;30.5%;29.5%;25.0%;18.5%;26.6%;26.7%;27.1%;24.2%;29.8%;30.7%;22.4%;;26.9%
"Чистая рентаб, %";;;;;;;;;;13.2%;12.1%;8.5%;7.2%;21.4%;15.6%;14.9%;14.1%;25.7%;19.7%;14.1%;12.6%;23.6%;21.0%;21.2%;11.4%;25.1%;17.4%;18.5%;8.3%;11.0%;25.7%;25.5%;18.1%;2.1%;18.6%;21.4%;13.7%;22.8%;19.2%;13.1%;3.3%;5.6%;19.0%;17.1%;8.0%;11.9%;10.7%;5.5%;0.3%;25.7%;10.7%;8.0%;0.1%;;11.6%
"Доходность FCF, %";;;0.0%;0.0%;0.0%;0.0%;;;;0.0%;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;7.0%;8.2%;7.4%;8.1%;7.8%;6.0%;4.8%;4.8%;3.2%;-4.5%;-10.4%;-16.8%;-27.4%;-22.9%;-27.6%;-36.5%;-27.2%;-37.3%;-52.6%;-62.7%;-73.3%;-83.8%;-99.9%;-72.1%;-94.0%
"ROE, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;2.2%;4.2%;5.3%;6.2%;7.7%;8.3%;9.3%;10.0%;10.2%;10.4%;9.9%;9.3%;9.0%;8.8%;9.6%;9.7%;12.3%;11.7%;11.3%;10.6%;9.1%;10.1%;11.0%;12.2%;11.2%;9.8%;9.4%;8.6%;12.7%;12.5%;11.6%;10.3%;7.3%;7.6%;8.8%;9.5%;11.5%;9.7%;7.5%;6.3%;11.7%;11.7%;12.2%;12.2%;;12.2%
"ROA, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;1.5%;2.8%;3.5%;3.9%;5.0%;5.5%;6.0%;6.6%;6.7%;6.9%;6.7%;6.2%;6.1%;6.0%;6.5%;6.6%;7.6%;7.3%;7.0%;6.6%;5.6%;6.3%;7.0%;7.7%;7.1%;6.4%;6.0%;5.7%;8.4%;8.5%;7.5%;6.5%;4.5%;4.6%;5.2%;5.6%;6.3%;5.2%;3.9%;3.1%;4.9%;5.0%;5.0%;4.7%;;4.7%
P/E;;;;;;;;;;15.7;0.00;6.67;6.29;5.54;5.13;4.06;4.61;5.41;5.17;4.48;5.04;4.96;5.19;4.18;3.77;2.93;3.09;3.84;3.52;4.60;4.31;4.67;4.32;5.14;5.91;6.57;6.43;4.16;3.91;4.73;4.68;7.57;7.43;6.79;6.24;4.35;5.10;6.08;5.89;3.41;3.17;2.83;2.45;5.98;2.60
P/FCF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.2;12.1;13.5;12.3;12.8;16.6;21.0;20.8;31.6;-22.2;-9.59;-5.96;-3.66;-4.37;-3.63;-2.74;-3.67;-2.68;-1.90;-1.60;-1.36;-1.19;-1.00;-1.39;-1.06
P/S;;;;;;;;;;2.07;0.00;0.77;0.67;0.73;0.72;0.63;0.77;0.96;0.97;0.84;0.94;0.89;0.95;0.84;0.73;0.58;0.58;0.69;0.62;0.65;0.71;0.85;0.87;0.90;0.92;0.97;0.89;0.80;0.76;0.83;0.72;0.81;0.82;0.83;0.80;0.62;0.61;0.56;0.44;0.40;0.37;0.34;0.29;0.39;0.30
P/BV;0.00;0.00;0.93;0.56;0.45;0.38;0.00;0.00;0.00;0.35;0.00;0.36;0.39;0.43;0.43;0.38;0.46;0.55;0.54;0.44;0.47;0.45;0.46;0.40;0.37;0.36;0.36;0.43;0.37;0.42;0.44;0.52;0.53;0.57;0.58;0.62;0.56;0.53;0.49;0.55;0.48;0.55;0.56;0.60;0.60;0.50;0.49;0.46;0.37;0.40;0.37;0.35;0.30;;0.32
EV/EBITDA;;;;;;;;;;14.4;2.53;6.00;5.40;5.31;4.75;4.15;4.59;4.79;4.08;3.65;4.17;4.10;4.07;3.31;3.20;3.07;2.88;3.56;3.49;3.50;3.32;3.41;3.49;3.63;3.64;3.80;3.75;3.52;3.28;3.92;4.29;5.66;5.81;5.61;5.61;4.86;4.96;5.15;4.83;4.68;4.43;4.40;4.70;1.42;4.77
Долг/EBITDA;;;;;;;;;;4.82;2.53;2.16;2.00;1.73;1.45;1.43;1.48;1.23;0.59;0.69;0.93;1.11;0.97;0.76;0.88;1.18;0.89;1.00;1.24;1.08;0.86;0.68;0.72;0.76;0.62;0.60;0.83;0.85;0.73;0.97;1.49;1.97;2.14;2.07;2.39;2.45;2.50;2.82;3.06;3.16;3.06;3.18;3.64;0.00;3.64
"Персонал, чел";;;;;;"78 081";;;;"77 030";;;;"75 703";;;;"71 528";;;;"70 817";;;;"69 665";;;;"69 547";;;;"66 018";;;;"65 792";;;;"67 625";;;;"68 628";;;;"72 429";;;;;
"Производительность труда, млн руб/чел/год";;;;;;0.00;;;;1.31;;;;1.43;;;;1.33;;;;1.31;;;;1.28;;;;1.40;;;;1.61;;;;1.70;;;;1.72;;;;2.07;;;;2.32;;;;;
"Расходы/чел/год, тыс.р";;;;;;0.00;;;;229.5;;;;268.2;;;;268.9;;;;296.2;;;;297.0;;;;330.6;;;;338.2;;;;370.1;;;;402.5;;;;462.5;;;;491.4;;;;;
"R&D/CAPEX, %";;;;;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0
"Цена/мощность, руб/кВт";;"-1 445";"19 845";"13 298";"7 682";"7 562";;;;"8 167";;;;"10 075";;;;"12 369";;;;"10 920";;;;"8 541";;;;"8 611";;;;"11 485";;;;"11 259";;;;"13 498";;;;"16 592";;;;"18 302";;;;"4 793";"21 100"
"CAPEX/Выручка, %";;;;;;;;;;0%;16%;30%;25%;40%;9%;17%;19%;21%;10%;19%;22%;33%;10%;22%;19%;25%;13%;24%;23%;24%;9%;15%;17%;20%;8%;11%;27%;30%;12%;26%;23%;46%;44%;28%;31%;45%;19%;30%;42%;46%;25%;38%;36%;;36%
