;2016Q4;2017Q1;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q2;2022Q4;2023Q2;2023Q4;2024Q2;2024Q4;2025Q2;LTM
"Чистый долг, млрд руб";821.1;0.00;694.4;701.7;754.8;748.2;770.6;729.9;715.2;678.6;631.7;0.00;736.1;0.00;725.9;0.00;587.0;0.00;637.5;585.2;712.1;808.5;781.8;828.0;808.8;870.4;870.4
"Цена акции ао, руб";;;805.4;713.5;329.0;305.5;418.9;524.0;482.0;528.6;645.0;552.2;587.5;708.5;774.0;818.5;788.5;826.0;885.0;487.0;374.0;463.2;440.2;428.1;347.3;402.5;479.1
"Число акций ао, млн";638.8;714.3;638.8;714.3;714.3;714.3;638.8;714.3;714.3;714.3;638.8;638.8;638.8;714.3;638.8;714.3;638.8;638.8;638.8;638.8;638.8;638.8;638.8;638.8;638.8;638.8;638.8
"Free Float, %";;;;;;;;;;;9.73%;;;;9.73%;;;;14.0%;;;;;;14.0%;14.0%;14.0%
"Капитализация, млрд руб";0.00;0.00;514.5;509.6;235.0;218.2;267.6;374.3;344.3;377.6;412.1;352.8;375.3;506.1;494.5;584.6;503.7;527.7;565.4;311.1;238.9;295.9;281.2;273.5;221.8;257.1;306.1
"EV, млрд руб";821.1;0.00;"1 209";"1 211";989.8;966.4;"1 038";"1 104";"1 059";"1 056";"1 044";352.8;"1 111";506.1;"1 220";584.6;"1 091";527.7;"1 203";896.3;951.0;"1 104";"1 063";"1 101";"1 031";"1 128";"1 176"
"Баланс стоимость, млрд руб";-6.97;0.00;114.8;-4.53;-3.33;12.4;32.0;82.2;100.3;108.2;121.0;0.00;20.9;0.00;72.0;0.00;198.0;0.00;265.6;289.8;356.1;414.7;433.6;529.0;512.3;591.6;591.6
"EPS, руб";0.00;12.5;0.00;30.1;32.1;53.8;-34.7;25.8;23.1;11.0;20.0;0.00;-26.3;0.00;103.7;0.00;209.3;0.00;37.7;215.1;-98.9;79.7;-0.16;100.5;41.6;50.8;92.4
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;48.4;0.00;60.8;0.00;80.4;0.00;116.2;-37.7;-23.4;-16.1;106.9;-121.9;-21.1;-7.49;-28.6
"BV/акцию, руб";-10.9;0.00;179.7;-6.34;-4.66;17.3;50.0;115.1;140.4;151.5;189.3;0.00;32.6;0.00;112.7;0.00;309.9;0.00;415.8;453.6;557.5;649.1;678.7;828.1;801.9;926.0;926.0
"Рентаб EBITDA, %";;25.8%;;27.0%;28.3%;28.1%;23.0%;13.3%;20.1%;15.1%;23.5%;;15.2%;;20.5%;;29.0%;;27.6%;28.6%;6.5%;14.4%;15.0%;21.4%;18.7%;17.1%;17.8%
"Чистая рентаб, %";;5.2%;;11.0%;13.7%;17.8%;-11.2%;10.1%;8.5%;4.3%;6.5%;;-4.7%;;17.0%;;27.7%;;4.3%;21.6%;-12.7%;9.1%;0.0%;10.1%;3.8%;4.2%;4.0%
"Доходность FCF, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;8.2%;6.1%;14.1%;11.9%;17.9%;17.1%;22.2%;16.1%;-16.4%;-8.5%;20.6%;-3.5%;-41.2%;-7.1%;-6.0%
"ROE, %";0.0%;;3.5%;16.1%;32.0%;52.6%;32.9%;24.9%;20.7%;8.0%;20.7%;;2.2%;;21.2%;;55.7%;;36.8%;37.4%;14.1%;-2.0%;8.2%;8.9%;13.2%;7.5%;7.5%
"ROA, %";0.0%;;0.7%;;;;4.5%;;;;3.7%;;0.3%;;3.0%;;10.7%;;8.2%;9.5%;3.4%;-0.5%;2.1%;2.6%;3.6%;2.2%;2.2%
P/E;;0.00;57.6;23.7;5.30;2.64;4.41;6.50;6.72;18.3;7.41;9.49;97.2;-126.0;10.00;11.8;2.52;2.64;3.58;1.93;3.22;-24.1;5.54;4.27;2.44;4.35;5.18
P/FCF;;;;;;;;;;;;;12.1;16.4;7.08;8.38;5.58;5.85;4.50;6.21;-6.12;-11.7;4.85;-28.5;-2.43;-14.1;-16.7
P/S;;0.00;2.99;2.61;0.65;0.38;0.34;0.49;0.44;0.50;0.54;0.61;0.51;0.91;0.66;0.78;0.58;0.60;0.54;0.26;0.21;0.28;0.23;0.21;0.17;0.17;0.21
P/BV;0.00;;4.48;-112.5;-70.6;17.6;8.38;4.55;3.43;3.49;3.41;;18.0;;6.86;;2.54;;2.13;1.07;0.67;0.71;0.65;0.52;0.43;0.43;0.52
EV/EBITDA;;0.00;27.3;23.0;9.90;6.01;5.04;6.22;6.26;7.75;7.59;3.11;8.62;5.01;9.09;4.36;4.96;2.40;4.09;2.67;4.45;9.79;5.78;4.59;3.86;4.28;4.47
Долг/EBITDA;;0.00;15.7;13.3;7.55;4.65;3.74;4.11;4.23;4.98;4.59;0.00;5.71;0.00;5.41;0.00;2.67;0.00;2.17;1.74;3.33;7.16;4.25;3.45;3.03;3.30;3.30
"Персонал, чел";;;;;;;;;;;;;;;;;;;;;"96 617";;"90 064";;"93 486";;
"Производительность труда, млн руб/чел/год";;;;;;;;;;;;;;;;;;;;;5.17;;7.65;;7.47;;
"Расходы/чел/год, тыс.р";;;;;;;;;;;;;;;;;;;;;0.00;;0.00;;0.00;;
"R&D/CAPEX, %";;0.00%;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;53.06%;0.00%;64.06%;0.00%;0.00%;0.00%;0.00%;0
"Цена/мощность, руб/кВт";;;;;;;"52 972";;;;"53 525";;;;"62 583";;;;"61 686";;;;;;;;
"CAPEX/Выручка, %";;5%;;6%;10%;7%;10%;6%;10%;9%;11%;;10%;;12%;;11%;;11%;8%;14%;8%;11%;10%;16%;11%;13%
