;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Рентаб EBITDA, %";5.0%;4.9%;-7.7%;61.0%;41.0%;30.3%;39.0%;40.5%;53.5%;55.0%;45.2%;39.6%;0.0%;32.6%
"Чистая рентаб, %";2.5%;-2.1%;-215.1%;28.2%;7.5%;72.6%;37.0%;37.4%;33.3%;44.0%;32.3%;32.6%;0.0%;53.7%
"Доходность FCF, %";;;;0.0%;0.0%;0.0%;-0.3%;-5.8%;-0.4%;-2.1%;5.3%;10.7%;0.0%;-6.6%
"ROE, %";202.2%;226.1%;122.5%;29.5%;10.7%;38.8%;35.9%;26.6%;28.3%;37.9%;23.2%;24.1%;;36.3%
"ROA, %";;;-22.0%;11.7%;6.7%;21.3%;23.2%;15.8%;18.3%;24.2%;16.2%;17.5%;;21.9%
P/E;0.00;0.00;0.00;10.2;33.2;5.24;6.89;7.37;9.96;5.08;8.14;5.15;;3.45
P/FCF;;;;;;;-356.4;-17.2;-266.5;-47.7;18.7;9.31;;-15.1
P/S;0.00;0.00;0.00;2.89;2.49;3.80;2.55;2.76;3.32;2.23;2.63;1.68;1.75;1.85
P/BV;0.00;0.00;0.00;3.02;3.55;2.03;2.49;2.04;2.91;1.97;1.92;1.26;;1.28
EV/EBITDA;2.57;4.47;-64.8;6.83;6.42;16.9;7.72;8.60;7.15;5.09;6.87;5.27;;7.52
Долг/EBITDA;2.57;4.47;-64.8;2.10;0.36;4.31;1.18;1.80;0.94;1.04;1.06;1.01;;1.83
"Персонал, чел";;;;;;;387;455;656;676;;;;
"Производительность труда, млн руб/чел/год";;;;;;;22.7;18.3;24.2;34.8;;;;
"Расходы/чел/год, тыс.р";;;;;;;"1 974";"1 670";0.00;"2 237";;;;
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%;0.00%;0.00%;;0.00%;0.00%;0.00%;;0
"CAPEX/Выручка, %";0%;0%;0%;6%;11%;40%;29%;22%;0%;17%;16%;20%;0%;20%
"IR рейтинг";;;;;;;;;;4.1;4.1;4.3;4.3;4.3
"Качество фин.отчетности";;;;;;;;;;4;4;5;5;5
"Презентации для инвесторов";;;;;;;;;;5;5;5;5;5
"Присутствие на смартлабе";;;;;;;;;;4;4;4;4;4
"Годовой отчет";;;;;;;;;;5;5;5;5;5
"Сайт для инвесторов";;;;;;;;;;5;5;5;5;5
"Календарь инвесторов";;;;;;;;;;1;1;1;1;1
"Обратная связь";;;;;;;;;;5;5;5;5;5
