;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"BV/акцию, руб";0.00;0.00;0.00;689.7;"1 103";"1 160";"1 149";"1 102";"1 283";"1 375";"1 636";"1 780";"2 016";"2 647";"2 758";0
"Рентаб EBITDA, %";;;;11.0%;24.7%;16.4%;12.5%;17.0%;19.9%;17.2%;20.7%;18.3%;16.4%;22.0%;17.9%;17.9%
"Чистая рентаб, %";;;;3.9%;22.0%;7.8%;2.3%;5.6%;9.9%;7.5%;10.8%;10.5%;8.4%;12.1%;7.8%;4.9%
"Доходность FCF, %";;;0.0%;0.0%;15.2%;-13.1%;-3.7%;-5.4%;10.2%;10.5%;5.6%;2.9%;9.1%;-1.0%;-4.1%;-1.5%
"ROE, %";;;;6.8%;29.9%;11.3%;3.6%;9.8%;17.0%;14.8%;19.5%;21.1%;16.9%;22.9%;16.3%;
"ROA, %";;;;;17.3%;5.6%;1.8%;4.3%;6.9%;6.2%;8.4%;8.6%;6.0%;9.7%;6.2%;
P/E;;;;12.4;2.04;7.61;17.7;9.69;4.83;7.95;5.83;7.40;7.40;6.32;8.85;10.8
P/FCF;;;;;6.59;-7.61;-27.3;-18.4;9.83;9.55;17.7;34.5;10.9;-99.4;-24.4;-68.0
P/S;;;;0.48;0.45;0.59;0.41;0.54;0.48;0.59;0.63;0.78;0.62;0.76;0.69;0.53
P/BV;;;;0.84;0.63;0.90;0.67;1.01;0.87;1.26;1.21;1.65;1.34;1.55;1.55;
EV/EBITDA;0.00;0.00;2.43;8.65;3.55;6.44;6.95;6.42;5.31;6.46;5.39;6.72;6.80;5.37;6.75;2.94
Долг/EBITDA;0.00;0.00;0.00;4.27;1.73;2.82;3.66;3.21;2.90;3.00;2.34;2.48;3.01;1.91;2.87;0
"Персонал, чел";;;;;;;;"23 200";"23 500";"28 100";"31 100";;918;611;;
"Производительность труда, млн руб/чел/год";;;;;;;;3.90;4.37;4.27;4.14;;200.8;371.0;;
"Расходы/чел/год, тыс.р";;;;;;;;583.3;624.7;644.8;626.1;;"37 364";"77 087";;
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;13%;10%;14%;13%;17%;9%;7%;9%;11%;10%;16%;14%;14%
"IR рейтинг";;;;;;;;;;;;;;1.6;2.0;2.0
"Качество фин.отчетности";;;;;;;;;;;;;;3;3;3
"Презентации для инвесторов";;;;;;;;;;;;;;1;1;1
"Присутствие на смартлабе";;;;;;;;;;;;;;1;1;1
"Годовой отчет";;;;;;;;;;;;;;2;5;5
"Сайт для инвесторов";;;;;;;;;;;;;;2;2;2
"Календарь инвесторов";;;;;;;;;;;;;;1;1;1
"Обратная связь";;;;;;;;;;;;;;1;1;1
