;2013Q4;2014Q4;2015Q4;2016Q2;2016Q4;2017Q2;2017Q3;2017Q4;2018Q2;2018Q4;2019Q2;2019Q4;2020Q2;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;1.8%;2.2%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;7.3%;3.8%;0.0%;0.0%;17.2%;6.1%;0.0%;0.0%;88.7%;102.9%
"Дивиденды/прибыль, %";;;;0%;;0%;;;0%;0%;0%;0%;0%;0%;;0%;0%;0%;0%;0%;0%;0%;0%;0%;78%;80%;0%;0%;287%;128%;0%;0%;"2 584%";459%
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;;;;;;;;;2.42;;;;2.72;2.91;2.92;3.08;2.68;2.77;0.105;8.63
"Себестоимость, млрд руб";;;;;;;;;;;;;;;;4.12;2.48;2.80;3.53;3.95;4.00;3.91;3.92;4.24;4.94;6.00;6.40;7.22;8.35;8.88;9.34;8.91;0.024;27.2
"Расх на персонал, млрд руб";;;;;;;;;;;;;2.63;3.59;;3.40;0.560;3.52;1.75;1.66;1.66;1.84;1.76;1.90;2.00;2.08;2.11;2.30;2.28;2.27;2.08;2.08;0.051;6.48
"Процентные расходы, млрд руб";;;;;;;;;;;;;;;;4.31;;5.22;3.27;3.91;;8.02;3.75;4.46;4.94;5.71;6.24;7.63;7.97;8.76;9.30;8.87;0.001;26.9
"Активы, млрд руб";;;;;293.9;;;316.9;;383.7;;428.3;;425.8;;178.2;;217.1;;212.9;233.0;229.9;236.0;265.9;290.9;312.0;338.1;362.4;371.7;353.9;;310.4;284.8;284.8
"Чистые активы, млрд руб";6.74;8.41;10.7;;78.3;8.27;;84.6;82.4;83.4;86.2;88.2;70.2;61.2;;54.2;;57.3;;56.9;60.8;62.3;68.4;73.8;80.0;81.3;94.8;106.6;103.0;93.8;;92.5;93.9;93.9
"Долг, млрд руб";22.6;25.7;23.5;;21.4;28.8;;31.5;23.3;44.2;32.5;70.0;51.7;93.7;;68.9;;147.1;;146.5;161.7;153.9;154.6;178.3;195.1;213.0;219.3;236.6;238.0;226.7;;182.6;0.000;0.000
"Наличность, млрд руб";0.405;1.44;9.00;;54.8;7.38;;14.1;5.25;2.80;2.10;4.13;7.27;3.60;;5.98;;8.80;;9.24;19.6;10.3;6.59;16.6;11.8;13.5;23.3;29.4;31.6;17.3;;21.1;0.867;0.867
"Чистый долг, млрд руб";22.2;24.3;14.5;0.00;-33.4;21.5;0.00;17.4;18.0;41.4;30.4;65.9;44.4;90.1;0.00;62.9;0.00;138.3;0.00;137.3;142.1;143.6;148.0;161.7;183.3;199.5;196.0;207.2;206.4;209.4;0.00;161.5;-0.87;-0.87
"Цена акции ао, руб";;;575.0;620.0;724.0;780.0;712.0;773.5;744.0;580.2;503.4;514.0;459.8;493.2;496.6;454.6;433.0;525.8;450.0;586.4;433.8;505.8;510.6;494.4;537.2;535.6;"1 869";"1 309";"1 325";"1 377";"1 476";"1 257";"1 017";957.8
"Число акций ао, млн";111.6;111.6;23.0;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;50.2;111.6;50.2;50.2;50.2;50.2;50.2
"Free Float, %";;;;;;;;29.0%;;;;;;10.8%;;;;;;;;;;;;24.5%;;;24.5%;27.8%;;22.0%;22.0%;22.0%
"Капитализация, млрд руб";0.00;0.00;13.2;69.2;80.8;87.1;79.5;86.4;83.1;64.8;56.2;57.4;51.3;55.1;55.4;50.8;48.3;58.7;50.2;65.5;48.4;56.5;57.0;55.2;60.0;59.8;208.7;65.8;147.9;69.2;74.1;63.1;51.1;48.1
"EV, млрд руб";22.2;24.3;27.7;69.2;47.4;108.5;79.5;103.7;101.1;106.2;86.6;123.3;95.7;145.1;55.4;113.7;48.3;197.0;50.2;202.7;190.5;200.1;205.0;216.9;243.3;259.3;404.7;273.0;354.3;278.6;74.1;224.7;50.2;47.2
"Баланс стоимость, млрд руб";6.74;8.41;10.7;0.00;54.1;8.27;0.00;60.4;51.3;56.0;58.8;63.1;45.1;61.1;0.00;53.7;0.00;57.0;0.00;56.6;60.5;62.3;68.4;73.8;80.0;81.3;94.8;106.6;103.0;93.8;0.00;92.5;93.9;93.9
"EPS, руб";0.00;0.00;0.00;10.3;0.00;35.2;0.00;0.00;57.3;22.7;52.3;30.1;32.6;-65.7;0.00;14.5;24.4;-8.51;-13.1;14.4;38.1;15.4;53.8;44.5;50.3;25.6;72.5;116.4;34.0;62.1;62.9;48.9;33.8;207.7
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-52.7;0.00;-273.7;-28.9;38.8;0.00;-52.3;-38.0;-124.5;86.9;-406.0;34.8;-253.6;12.8;-55.3;0.00;"1 042";432.9;"1 419"
"BV/акцию, руб";60.4;75.3;465.7;0.00;484.6;74.1;0.00;540.7;459.6;501.4;526.5;565.1;403.6;546.9;0.00;481.2;0.00;510.8;0.00;507.4;541.6;557.7;613.0;661.1;716.4;727.9;849.1;"2 122";922.6;"1 867";0.00;"1 841";"1 869";"1 869"
"Рентаб EBITDA, %";;;;0.0%;;;;;;;;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Чистая рентаб, %";;;;56.2%;;;;;;;;;;;;19.9%;54.4%;-16.7%;-24.1%;25.1%;61.4%;44.6%;83.4%;64.5%;64.3%;28.1%;65.2%;58.6%;34.3%;31.8%;44.9%;33.3%;157.0%;41.2%
"Доходность FCF, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;-11.6%;-12.2%;-62.1%;-79.0%;-45.0%;-60.8%;-8.4%;-10.1%;-43.4%;-23.8%;-89.9%;-21.9%;-67.6%;-35.7%;-14.7%;-19.0%;80.8%;139.5%;148.2%
"ROE, %";0.0%;0.0%;0.0%;;1.5%;47.5%;;4.6%;7.8%;10.7%;9.7%;10.4%;10.0%;-6.0%;;-10.6%;;5.9%;;3.4%;5.7%;9.8%;19.9%;23.0%;22.9%;23.9%;22.7%;21.0%;20.0%;22.2%;;13.6%;11.1%;11.1%
"ROA, %";;;;;0.4%;;;1.2%;;2.3%;;2.1%;;-0.9%;;-3.2%;;1.6%;;0.9%;1.5%;2.7%;5.8%;6.4%;6.3%;6.2%;6.4%;6.2%;5.5%;5.9%;;4.0%;3.7%;3.7%
P/E;;;;60.3;70.4;22.2;20.2;22.0;13.0;7.25;6.71;6.24;7.34;-14.9;-15.0;-8.87;-16.1;17.3;26.0;34.1;14.0;9.23;4.19;3.26;3.27;3.07;9.69;2.93;7.18;3.32;4.65;5.03;4.90;4.61
P/FCF;;;;;;;;;;;;;;;;-8.63;-8.22;-1.61;-1.27;-2.22;-1.64;-11.9;-9.91;-2.30;-4.20;-1.11;-4.57;-1.48;-2.80;-6.78;-5.26;1.24;0.72;0.67
P/S;;;;33.9;39.6;;;;;;;;;;;6.22;3.67;3.12;2.02;2.83;1.93;2.43;2.34;2.15;2.18;1.77;5.35;1.59;3.39;1.60;1.95;1.79;2.02;1.90
P/BV;0.00;0.00;1.23;;1.49;10.5;;1.43;1.62;1.16;0.96;0.91;1.14;0.90;;0.94;;1.03;;1.16;0.80;0.91;0.83;0.75;0.75;0.74;2.20;0.62;1.44;0.74;;0.68;0.54;0.51
"Персонал, чел";;;;;;;;;;;;"6 400";;"6 300";;;;;;;;;;;;"2 740";"2 833";"2 990";"3 090";"3 137";;"2 928";"2 924";"2 924"
"Производительность труда, млн руб/чел/год";;;;;;;;;;;;0.00;;0.00;;;;;;;;;;;;3.72;4.38;3.34;3.58;3.13;;2.52;0.37;8.66
"Расходы/чел/год, тыс.р";;;;;;;;;;;;0.00;;569.8;;;;;;;;;;;;759.1;744.8;769.2;737.9;723.6;;709.4;17.4;"2 215"
"R&D/CAPEX, %";;;;;;;;;;;;;0.00%;0.00%;;0.00%;;0.00%;0.00%;0.00%;;0.00%;0.00%;0.00%;;0.00%;0.00%;;;0.00%;;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;0%;;;;;;;;;;;;1%;0%;7%;1%;1%;0%;1%;1%;1%;0%;1%;1%;0%;0%;3%;0%;1%;2%;2%
"IR рейтинг";;;;;;;;;;;;;;;;3.9;3.9;;3.9;3.9;3.9;;;;;;;;;;;;;
"Качество фин.отчетности";;;;;;;;;;;;;;;;4;4;;4;4;4;;;;;;;;;;;;;
"Презентации для инвесторов";;;;;;;;;;;;;;;;5;5;;5;5;5;;;;;;;;;;;;;
"Присутствие на смартлабе";;;;;;;;;;;;;;;;0;0;;0;0;0;;;;;;;;;;;;;
"Годовой отчет";;;;;;;;;;;;;;;;5;5;;5;5;5;;;;;;;;;;;;;
"Сайт для инвесторов";;;;;;;;;;;;;;;;5;5;;5;5;5;;;;;;;;;;;;;
"Календарь инвесторов";;;;;;;;;;;;;;;;3;3;;3;3;3;;;;;;;;;;;;;
"Обратная связь";;;;;;;;;;;;;;;;5;5;;5;5;5;;;;;;;;;;;;;
