;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Чистые активы, млрд руб";;;;;;228.6;159.1;165.3;183.4;194.9;199.1;214.4;201.6;311.6;427.4;612.7;495.4;527.1;527.1
"Долг, млрд руб";;;;;;155.6;192.9;178.7;122.1;120.5;101.1;164.1;193.0;134.9;101.6;163.1;108.5;60.1;60.1
"Наличность, млрд руб";;;;;;33.9;106.7;120.1;70.0;59.4;15.9;66.9;43.1;31.0;186.2;373.6;128.6;38.4;38.4
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;121.7;86.2;58.7;52.1;61.1;85.2;97.2;149.9;103.9;-84.6;-210.5;-20.1;21.7;21.7
"Цена акции ао, руб";84.7;253.1;519.9;363.8;369.1;319.5;501.9;609.0;942.0;887.4;942.9;937.6;"1 320";"1 606";899.8;"1 398";"1 306";966.6;954.4
"Число акций ао, млн";"1 008";"1 008";"1 008";"1 008";"1 008";837.7;837.7;837.7;837.7;837.7;837.7;837.7;837.7;837.7;837.7;837.7;837.7;837.7;837.7
"Free Float, %";;;;;;;;20.0%;18.0%;;;;;;;;23.0%;23.0%;23.0%
"Инсайдерское владение, %";;;;;;;;79.0%;;;;;;;;;;;
"Капитализация, млрд руб";85.4;255.0;523.9;366.6;371.9;267.7;420.5;510.2;789.1;743.4;789.9;785.4;"1 105";"1 345";753.8;"1 171";"1 094";809.7;799.5
"EV, млрд руб";85.4;255.0;523.9;366.6;371.9;389.3;506.6;568.8;841.2;804.5;875.1;882.7;"1 255";"1 449";669.2;961.0;"1 074";831.4;821.2
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;228.6;137.9;148.9;170.0;181.0;184.4;197.1;183.0;291.7;410.5;595.8;471.7;501.1;501.1
"EPS, руб";0.00;0.00;0.00;72.7;23.4;3.02;-63.4;41.1;121.9;174.3;153.6;136.4;89.1;357.6;129.4;231.4;178.6;38.2;38.2
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;65.1;110.3;77.7;97.0;120.0;84.8;73.5;310.7;187.1;143.2;115.6;-36.4;-36.4
"BV/акцию, руб";0.00;0.00;0.00;0.00;0.00;272.9;164.6;177.7;202.9;216.1;220.2;235.3;218.5;348.2;490.0;711.2;563.0;598.1;598.1
"Рентаб EBITDA, %";;;;;;19.3%;26.9%;40.4%;32.7%;33.4%;37.4%;34.4%;36.2%;52.6%;31.4%;36.0%;28.7%;19.3%;19.3%
"Чистая рентаб, %";;;;;;0.8%;-16.8%;10.9%;26.0%;32.4%;24.4%;21.7%;15.4%;35.9%;15.9%;26.6%;18.0%;4.5%;4.5%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;13.0%;18.1%;8.2%;10.9%;12.7%;9.0%;5.6%;19.4%;20.8%;10.2%;8.8%;-3.8%;-3.8%
"ROE, %";;;;;;1.1%;-33.4%;20.8%;55.7%;74.9%;64.6%;53.3%;37.0%;96.2%;25.4%;31.6%;30.2%;6.1%;6.1%
"ROA, %";;;;;;;;8.0%;26.0%;35.2%;31.5%;22.4%;13.7%;46.5%;14.8%;19.5%;17.4%;3.7%;3.7%
P/E;;;;5.00;15.8;105.8;-7.92;14.8;7.73;5.09;6.14;6.87;14.8;4.49;6.96;6.04;7.31;25.3;25.0
P/FCF;;;;;;;7.71;5.52;12.1;9.14;7.86;11.1;18.0;5.17;4.81;9.76;11.3;-26.5;-26.2
P/S;;;;;;0.89;1.33;1.62;2.01;1.65;1.50;1.49;2.28;1.61;1.10;1.61;1.32;1.14;1.12
P/BV;;;;;;1.17;3.05;3.43;4.64;4.11;4.28;3.98;6.04;4.61;1.84;1.97;2.32;1.62;1.60
EV/EBITDA;;;;;;6.71;5.97;4.45;6.56;5.35;4.43;4.87;7.15;3.30;3.12;3.67;4.51;6.04;5.97
Долг/EBITDA;;;;;;2.10;1.02;0.46;0.41;0.41;0.43;0.54;0.85;0.24;-0.39;-0.80;-0.08;0.16;0.16
"Персонал, чел";;;;;;;"39 216";"37 543";"37 115";"37 115";"36 257";"36 722";"38 046";"53 832";"49 836";"46 113";"50 000";;
"Производительность труда, млн руб/чел/год";;;;;;;8.05;8.41;10.6;12.1;14.6;14.4;12.8;15.5;13.7;15.8;16.6;;
"Расходы/чел/год, тыс.р";;;;;;;"1 322";"1 417";"1 525";"1 548";"1 689";"1 850";"1 905";"1 515";"1 740";"1 877";"2 378";;
"R&D/CAPEX, %";;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;;;0%;9%;8%;9%;8%;8%;14%;20%;10%;10%;10%;14%;24%;24%
"IR рейтинг";;;;;;;;;;;;;;;3.0;3.0;4.6;4.6;4.6
"Качество фин.отчетности";;;;;;;;;;;;;;;3;3;5;5;5
"Презентации для инвесторов";;;;;;;;;;;;;;;1;1;5;5;5
"Присутствие на смартлабе";;;;;;;;;;;;;;;3;3;3;3;3
"Годовой отчет";;;;;;;;;;;;;;;1;1;5;5;5
"Сайт для инвесторов";;;;;;;;;;;;;;;5;5;5;5;5
"Календарь инвесторов";;;;;;;;;;;;;;;3;3;4;4;4
"Обратная связь";;;;;;;;;;;;;;;5;5;5;5;5
