;2016Q4;2017Q4;2018Q4;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Див доход, ао, %";;;0.0%;0.0%;;;;0.0%;0.0%;0.0%;4.8%;5.8%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;0%;0%;0%;0%;0%;0%;186%;246%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;6.70;3.44;2.20;3.24;7.49;6.79;0.000;6.94;8.00;6.26;0.000;7.08;4.42;8.34;5.33;6.84;7.55;7.73;7.26;7.89;6.65;6.22;28.0
"Себестоимость, млрд руб";;;;;;21.4;12.0;12.0;11.6;25.4;11.9;4.13;20.3;17.5;18.8;10.5;14.6;16.1;20.8;16.1;16.8;19.7;20.2;20.0;18.5;18.2;20.6;77.2
"Амортизация, млрд руб";;;;;;;;;1.6;1.8;1.6;1.9;3.6;3.4;3.6;3.9;3.3;3.2;3.4;3.7;3.4;3.6;3.6;3.6;3.6;3.7;3.6;14.5
"Процентные расходы, млрд руб";;;;;;1.03;0.783;0.287;0.710;1.30;0.795;0.000;1.18;2.30;2.08;4.97;2.95;4.61;4.17;1.87;5.40;6.26;6.71;0.000;3.52;10.4;3.32;17.2
"Активы, млрд руб";;61.6;73.9;76.6;;;;89.4;;125.0;126.9;209.3;214.6;207.3;206.4;228.1;219.2;215.5;213.5;208.2;205.0;209.0;211.7;206.6;205.9;198.8;196.3;196.3
"Чистые активы, млрд руб";;14.3;13.5;13.7;;;;8.74;;45.4;49.2;46.2;38.5;46.8;41.8;42.1;36.4;32.5;29.2;23.4;18.2;13.9;8.48;1.10;-5.72;66.7;56.2;56.2
"Долг, млрд руб";;38.2;41.5;42.5;;;;53.3;;50.0;46.3;73.7;96.8;98.9;102.9;123.8;123.2;123.5;126.0;133.2;136.9;144.2;149.0;152.4;157.6;62.0;73.9;73.9
"Наличность, млрд руб";;4.76;3.00;3.20;;;;3.70;;21.4;12.0;12.6;3.84;3.70;6.44;22.9;12.7;9.47;7.44;10.7;3.26;3.30;5.50;4.64;4.20;3.92;12.6;12.6
"Чистый долг, млрд руб";0.00;33.4;38.5;39.3;0.00;0.00;0.00;49.6;0.00;28.6;34.3;61.1;93.0;95.2;96.4;101.0;110.5;114.0;118.6;122.5;133.6;140.9;143.5;147.8;153.4;58.1;61.2;61.2
"Цена акции ао, руб";;;7.75;7.75;;;;8.10;8.10;7.64;8.77;11.1;9.55;8.07;4.78;4.58;5.46;5.92;5.13;3.74;3.74;2.89;1.54;1.30;1.63;1.52;1.37;1.23
"Число акций ао, млн";"11 940";"11 940";"11 940";"11 940";;"15 811";"15 811";"11 940";"15 811";"15 811";"15 811";"15 690";"15 690";"15 690";"15 690";"15 690";"15 690";"15 690";"15 690";"15 690";"15 690";"15 690";"15 690";"15 690";"15 690";"78 450";"78 450";"78 450"
"Free Float, %";;;0.000%;0.000%;;;;23.9%;;;;23.9%;;;;;;;;;;;;25.0%;;25.0%;5.00%;5.00%
"Инсайдерское владение, %";;;;1.70%;;;;2.38%;;;;;;;;;;;;;;;;;;;;
"Капитализация, млрд руб";0.00;0.00;92.5;92.5;0.00;0.00;0.00;96.7;128.1;120.8;138.7;174.1;149.8;126.6;75.0;71.8;85.6;92.9;80.5;58.6;58.7;45.3;24.1;20.4;25.5;119.2;107.4;96.7
"EV, млрд руб";0.00;33.4;131.0;131.9;0.00;0.00;0.00;146.3;128.1;149.4;173.0;235.2;242.8;221.8;171.4;172.8;196.1;206.9;199.1;181.1;192.4;186.2;167.6;168.1;178.9;177.3;168.6;157.9
"Баланс стоимость, млрд руб";0.00;11.1;13.1;12.7;0.00;0.00;0.00;6.48;0.00;42.7;46.1;39.8;32.1;40.4;35.4;36.2;30.6;26.7;23.5;17.7;12.5;8.30;2.87;-4.48;-11.3;61.5;51.1;51.1
"EPS, руб";0.00;0.00;0.00;0.00;;0.20;-0.22;0.35;0.15;0.33;0.22;0.26;-0.50;1.27;-0.32;-0.09;-0.24;-0.25;-0.21;-0.37;-0.33;-0.27;-0.34;-0.47;-0.43;-0.19;-0.13;-0.50
"FCF/акцию, руб";0.00;0.00;0.00;0.00;;-0.37;0.20;0.41;-0.47;-0.09;-0.19;-1.16;-1.32;-0.27;0.04;-0.28;-0.57;-0.17;-0.21;-0.32;-0.61;-0.68;-0.19;0.29;-0.32;-0.21;-0.04;-0.26
"BV/акцию, руб";0.00;0.93;1.10;1.07;;0.00;0.00;0.54;0.00;2.70;2.91;2.53;2.04;2.57;2.25;2.31;1.95;1.70;1.50;1.13;0.80;0.53;0.18;-0.29;-0.72;0.78;0.65;0.65
"Рентаб EBITDA, %";;;;;18.2%;21.2%;26.8%;32.9%;27.5%;33.9%;41.0%;22.7%;32.1%;22.2%;10.7%;31.1%;5.9%;13.7%;12.4%;9.3%;12.3%;17.4%;13.1%;-3.4%;8.6%;2.5%;2.2%;2.4%
"Чистая рентаб, %";;;;;-37.1%;18.8%;-17.9%;22.2%;13.2%;21.5%;13.9%;16.9%;-21.6%;74.5%;-20.7%;-15.3%;-20.3%;-18.5%;-13.5%;-23.2%;-22.7%;-16.5%;-19.9%;-28.4%;-27.7%;-73.6%;-44.2%;-41.9%
"Доходность FCF, %";;;0.0%;0.0%;;;;2.2%;-4.2%;-0.8%;-5.1%;-17.4%;-29.0%;-36.5%;-56.7%;-39.8%;-19.7%;-16.5%;-24.0%;-34.0%;-34.9%;-63.0%;-117.4%;-92.2%;-56.1%;-17.0%;-18.9%;-21.0%
"ROE, %";;0.0%;0.0%;0.0%;;;;-15.4%;;18.4%;31.1%;33.1%;12.9%;42.0%;26.7%;13.2%;26.6%;-43.6%;-42.5%;-71.5%;-99.4%;-133.3%;-243.5%;"-2 030.1%";417.4%;-51.7%;-70.2%;-70.2%
"ROA, %";;0.0%;0.0%;0.0%;;;;-1.5%;;6.7%;12.1%;7.3%;2.3%;9.5%;5.4%;2.4%;4.4%;-6.6%;-5.8%;-8.0%;-8.8%;-8.8%;-9.8%;-10.8%;-11.6%;-17.4%;-20.1%;-20.1%
P/E;;;;;0.00;0.00;0.00;-71.6;20.2;14.5;9.06;11.4;30.1;6.44;6.73;12.9;8.86;-6.57;-6.49;-3.51;-3.25;-2.45;-1.17;-0.92;-1.07;-3.46;-2.72;-2.45
P/FCF;;;;;;0.00;0.00;45.4;-23.8;-128.5;-19.6;-5.76;-3.45;-2.74;-1.76;-2.51;-5.08;-6.05;-4.16;-2.94;-2.86;-1.59;-0.85;-1.08;-1.78;-5.89;-5.30;-4.77
P/S;;;;;0.00;0.00;0.00;1.40;1.76;1.51;1.60;1.88;1.35;1.12;0.67;0.74;1.08;1.27;1.10;0.66;0.63;0.46;0.24;0.20;0.25;1.22;1.14;1.03
P/BV;;0.00;7.06;7.26;;;;14.9;;2.83;3.01;4.38;4.67;3.14;2.12;1.99;2.80;3.48;3.43;3.31;4.69;5.47;8.40;-4.55;-2.27;1.94;2.10;1.89
EV/EBITDA;;;;;0.00;0.00;0.00;8.39;6.46;6.11;5.80;8.04;6.74;6.57;6.64;7.44;15.6;21.7;20.1;19.5;17.5;14.7;12.7;16.8;19.2;33.6;74.4;69.7
Долг/EBITDA;;;;;0.00;0.00;0.00;2.84;0.00;1.17;1.15;2.09;2.58;2.82;3.73;4.35;8.79;12.0;11.9;13.2;12.2;11.2;10.9;14.8;16.5;11.0;27.0;27.0
"Персонал, чел";;;;;;;;"13 100";;;;"13 800";;;;"20 100";;;;"19 500";;;;"18 900";;;;
"Производительность труда, млн руб/чел/год";;;;;;;;1.43;;;;1.77;;;;0.47;;;;1.27;;;;1.37;;;;
"Расходы/чел/год, тыс.р";;;;;;;;0.00;;;;0.00;;;;0.00;;;;0.00;;;;0.00;;;;
"R&D/CAPEX, %";;;;;0.00%;0.00%;0.00%;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;;18%;42%;12%;0%;21%;35%;17%;26%;11%;9%;11%;12%;9%;8%;9%;9%;5%;11%;12%;11%;5%;8%;6%;7%
"IR рейтинг";;;;;;;4.7;;;4.1;4.7;;;;;;;;;;;;;;;;;
"Качество фин.отчетности";;;;;;;5;;;5;5;;;;;;;;;;;;;;;;;
"Презентации для инвесторов";;;;;;;4;;;4;4;;;;;;;;;;;;;;;;;
"Присутствие на смартлабе";;;;;;;5;;;1;5;;;;;;;;;;;;;;;;;
"Годовой отчет";;;;;;;5;;;5;5;;;;;;;;;;;;;;;;;
"Сайт для инвесторов";;;;;;;5;;;5;5;;;;;;;;;;;;;;;;;
"Календарь инвесторов";;;;;;;4;;;4;4;;;;;;;;;;;;;;;;;
"Обратная связь";;;;;;;5;;;5;5;;;;;;;;;;;;;;;;;
