;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Чистая прибыль, млрд руб";0.000;0.000;;41.5;-22.4;-23.0;23.9;23.8;61.3;54.7;71.7;81.9;75.5;98.2;117.5;135.9;147.5;148.5
"Операционный денежный поток, млрд руб";;;;;;;;;;;95.0;109.3;101.7;148.0;126.8;122.6;115.5;75.4
"CAPEX, млрд руб";;;;;;;28.8;29.0;34.7;31.5;25.8;24.5;28.5;32.8;54.9;66.9;115.0;148.4
"FCF, млрд руб";;;;;;;32.8;33.7;45.6;49.1;67.1;88.8;77.0;118.4;91.9;83.3;51.2;-14.2
"Див.выплата, млрд руб";;;0.150;0.000;0.000;0.000;0.109;1.86;15.3;13.6;17.9;20.5;18.9;24.7;29.6;34.0;36.9;36.9
"Дивиденд, руб/акцию";;;0,00001544;0;0;0;0,00104;0,0178;0,14682;0,130383;0,17;0,196;0,18;0,23658;0,28366;0,326;0,3538;0,3538
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.1%;1.6%;3.8%;3.8%;4.4%;3.9%;3.4%;5.5%;8.3%;8.3%;9.5%;10.5%
"Дивиденды/прибыль, %";;;;0%;0%;0%;0%;8%;25%;25%;25%;25%;25%;25%;25%;25%;25%;25%
"Опер. расходы, млрд руб";;;;;;688.0;788.5;815.0;830.0;821.8;885.8;946.0;915.0;"1 127";"1 170";"1 244";"1 450";"1 601"
"Амортизация, млрд руб";;;;;;;;;;;;;;;26.3;30.4;35.9;38.2
"НИОКР, млрд руб";;;;;;;;6.44;0.260;;;;;;;;;
"Расх на персонал, млрд руб";;;;;;39.1;42.9;47.2;49.9;49.5;51.9;55.7;56.6;;83.1;96.1;121.4;136.0
"Процентные расходы, млрд руб";;;;;;;;10.2;7.23;2.26;0.907;0.427;0.250;;2.00;1.80;2.77;3.01
"Активы, млрд руб";;;;;;;;938.1;983.5;"1 028";931.9;751.0;865.0;946.0;"1 122";"1 299";"1 461";"1 510"
"Чистые активы, млрд руб";;;;;;334.6;348.2;365.4;419.2;461.5;485.5;551.8;616.0;679.0;795.8;912.0;"1 024";"1 105"
"Долг, млрд руб";18.4;30.7;27.2;48.0;59.4;52.8;117.0;90.2;17.8;16.4;9.74;3.32;3.05;16.2;13.3;19.2;11.1;20.2
"Наличность, млрд руб";12.7;8.66;25.5;86.2;55.0;43.0;84.0;85.0;100.0;166.0;229.0;260.0;331.0;317.0;465.1;556.2;523.3;451.7
"Чистый долг, млрд руб";5.70;22.0;1.70;-38.2;4.37;9.75;33.0;5.20;-82.2;-149.6;-219.3;-256.7;-328.0;-300.8;-451.8;-537.0;-512.2;-431.5
"Цена акции ао, руб";0.640;4.83;4.81;3.49;2.48;1.000;0.712;1.11;3.84;3.40;3.88;5.04;5.32;4.28;3.40;3.95;3.72;3.36
"Число акций ао, млн";;"104 400";"104 400";"104 400";"104 400";"104 400";"104 400";"104 400";"104 400";"104 400";"104 400";"104 400";"104 400";"104 400";"104 400";"104 400";"104 400";"104 400"
"Free Float, %";;;;;;;;;;;;;;;;;32.0%;32.0%
"Капитализация, млрд руб";0.00;504.3;502.2;364.1;259.2;104.4;74.3;115.5;401.3;355.0;405.0;526.4;555.7;446.9;355.0;412.1;388.3;351.3
"EV, млрд руб";5.70;526.3;503.9;325.9;263.6;114.2;107.3;120.7;319.1;205.4;185.8;269.7;227.8;146.1;-96.7;-124.9;-123.9;-80.2
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;324.8;335.7;352.5;409.3;448.4;471.7;542.0;598.2;615.0;733.8;842.6;943.7;"1 020"
"EPS, руб";;0.00;0.00;0.40;-0.21;-0.22;0.23;0.23;0.59;0.52;0.69;0.78;0.72;0.94;1.13;1.30;1.41;1.42
"FCF/акцию, руб";;0.00;0.00;0.00;0.00;0.00;0.31;0.32;0.44;0.47;0.64;0.85;0.74;1.13;0.88;0.80;0.49;-0.14
"BV/акцию, руб";;0.00;0.00;0.00;0.00;3.11;3.22;3.38;3.92;4.30;4.52;5.19;5.73;5.89;7.03;8.07;9.04;9.77
"Рентаб EBITDA, %";;;;7.8%;4.8%;5.9%;9.6%;8.7%;11.1%;11.2%;12.6%;13.7%;12.4%;14.9%;14.5%;13.4%;11.2%;11.2%
"Чистая рентаб, %";;;;7.7%;-4.0%;-3.5%;3.2%;2.9%;7.1%;6.3%;7.5%;7.9%;7.7%;8.0%;9.3%;10.0%;9.5%;8.7%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;44.1%;29.2%;11.4%;13.8%;16.6%;16.9%;13.9%;26.5%;25.9%;20.2%;13.2%;-4.0%
"ROE, %";;;;;;-6.9%;6.9%;6.5%;14.6%;11.9%;14.8%;14.8%;12.3%;14.5%;14.8%;14.9%;14.4%;13.4%
"ROA, %";;;;;;;;2.5%;6.2%;5.3%;7.7%;10.9%;8.7%;10.4%;10.5%;10.5%;10.1%;9.8%
P/E;;;;8.77;-11.6;-4.54;3.11;4.85;6.55;6.49;5.65;6.43;7.36;4.55;3.02;3.03;2.63;2.37
P/FCF;;;;;;;2.27;3.43;8.80;7.23;6.03;5.93;7.22;3.77;3.86;4.95;7.59;-24.8
P/S;;;;0.68;0.47;0.16;0.10;0.14;0.46;0.41;0.42;0.51;0.56;0.36;0.28;0.30;0.25;0.21
P/BV;;;;;;0.32;0.22;0.33;0.98;0.79;0.86;0.97;0.93;0.73;0.48;0.49;0.41;0.34
EV/EBITDA;;;;7.82;9.95;2.91;1.51;1.67;3.31;2.10;1.53;1.91;1.86;0.80;-0.53;-0.68;-0.71;-0.42
Долг/EBITDA;;;;-0.92;0.16;0.25;0.46;0.07;-0.85;-1.53;-1.81;-1.81;-2.68;-1.65;-2.46;-2.94;-2.96;-2.27
"Персонал, чел";;;;;;"59 670";"58 479";"50 797";"58 479";"46 400";"47 100";"48 500";"46 900";"47 533";"49 055";"56 122";"60 046";
"Производительность труда, млн руб/чел/год";;;;;;11.1;12.7;16.4;14.8;18.7;20.4;21.3;21.0;25.8;25.8;24.2;25.8;
"Расходы/чел/год, тыс.р";;;;;;655.3;733.6;929.2;853.3;"1 066";"1 103";"1 148";"1 207";0.00;"1 694";"1 712";"2 021";
"R&D/CAPEX, %";;;;;;;0.00%;22.21%;0.75%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"Цена/мощность, руб/кВт";;;;"11 682";"7 869";"3 407";"3 064";"3 451";"9 812";"6 281";"5 512";"8 465";"7 326";"4 755";"-3 147";"-4 059";"-3 971";"-2 571"
"CAPEX/Выручка, %";;;;0%;0%;0%;4%;3%;4%;4%;3%;2%;3%;3%;4%;5%;7%;9%
