;2014Q4;2015Q4;2016Q4;2017Q4;2018Q4;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Див.выплата, млрд руб";;;6.14;;;;;;;;;15.8;;;;;;;;10.2;;;15.0;26.8;;;;;;;;
"Дивиденд, руб/акцию";;;3,12;;;;;;;;;6,67;;;;;;;;4,3;;;6,32;11,27;;;;;;;;
"Див доход, ао, %";;;;;;;;;;;;7.4%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;11.4%;0.0%;0.0%;5.2%;7.8%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;0%;0%;0%;0%;0%;0%;372%;0%;0%;0%;0%;0%;0%;0%;57%;0%;0%;75%;99%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;13.2;16.5;15.1;17.2;16.3;18.0;15.0;14.4;14.7;14.7;14.7;14.7;14.6;19.5;20.3;21.1;21.4;20.8;21.4;33.8;50.0;22.5;21.1;127.3
"Себестоимость, млрд руб";;;;;;;;;6.90;4.68;4.41;5.61;6.53;8.32;9.60;8.28;6.70;7.75;7.75;8.80;;;;;;;;;;;;
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;7.4;8.5;10.0;9.3;10.0;10.3;10.3;21.1;39.1;12.6;9.6;82.5
"Процентные расходы, млрд руб";;;;;;;;;2.21;4.10;2.30;4.09;2.02;3.40;2.80;2.54;4.24;;;;1.76;0.940;1.60;2.60;1.72;1.54;1.62;1.69;1.41;1.30;1.08;5.49
"Активы, млрд руб";;;434.1;423.2;496.2;;;454.1;;;596.0;572.0;586.0;556.0;540.0;544.1;540.1;;;451.8;546.0;591.5;669.2;627.9;628.8;615.1;646.7;679.7;539.0;512.4;537.9;537.9
"Чистые активы, млрд руб";;242.0;209.5;188.1;208.8;204.2;;223.3;;247.4;278.3;294.2;304.0;275.0;286.0;286.6;367.0;;;;358.0;400.0;467.3;437.3;454.1;422.1;481.0;500.0;392.2;370.6;388.3;388.3
"Долг, млрд руб";;138.7;141.6;149.8;241.6;220.5;;216.6;;243.2;203.2;175.3;249.0;232.0;225.0;224.9;147.8;;;123.6;163.4;140.0;154.3;133.6;131.3;123.6;133.6;135.5;110.8;102.8;107.3;107.3
"Наличность, млрд руб";;26.1;28.5;20.0;18.6;21.5;;23.2;;47.0;51.0;63.7;63.0;62.0;53.0;47.9;69.7;;;58.3;113.6;93.7;94.9;112.2;112.1;127.2;124.8;134.5;108.2;105.7;120.9;120.9
"Чистый долг, млрд руб";0.00;112.6;113.0;129.8;223.0;199.0;0.00;193.4;0.00;196.2;152.2;111.6;186.0;170.0;172.0;177.1;78.1;0.00;0.00;65.3;49.8;46.4;59.4;21.4;19.2;-3.65;8.80;1.03;2.60;-2.90;-13.6;-13.6
"Цена акции ао, руб";;;;;;;;;;;;90.2;90.3;92.8;84.0;73.5;52.9;38.8;29.9;37.6;58.3;89.2;120.6;145.1;127.9;121.3;98.3;98.7;91.2;76.5;79.6;75.7
"Число акций ао, млн";"1 967";"1 967";"1 967";"1 967";"1 967";"1 967";"2 375";"1 967";"2 375";"1 967";"1 967";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375"
"Free Float, %";;;;;;;;;;;;15.6%;;;;;;;;15.6%;;;;;;;;16.0%;16.0%;16.0%;16.0%;16.0%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;214.3;214.5;220.4;199.4;174.5;125.7;92.0;71.1;89.3;138.4;211.9;286.4;344.6;303.7;288.1;233.5;234.3;216.6;181.6;189.1;179.7
"EV, млрд руб";0.00;112.6;113.0;129.8;223.0;199.0;0.00;193.4;0.00;196.2;152.2;325.8;400.5;390.4;371.4;351.6;203.7;92.0;71.1;154.6;188.2;258.2;345.8;366.0;322.9;284.5;242.3;235.3;219.2;178.7;175.5;166.1
"Баланс стоимость, млрд руб";0.00;242.0;209.3;187.6;208.3;-189.8;0.00;222.9;0.00;247.2;278.0;294.0;303.8;274.8;285.8;286.4;367.0;0.00;0.00;0.00;358.0;400.0;467.3;437.3;454.1;422.1;481.0;500.0;392.2;370.6;388.3;388.3
"EPS, руб";0.00;0.00;0.00;0.00;0.00;3.04;0.70;3.41;3.16;4.15;0.90;1.79;0.45;0.41;0.88;0.17;-3.29;2.15;2.15;7.57;8.76;6.64;8.38;11.4;8.08;4.05;6.82;0.49;-13.7;-1.37;1.25;-13.4
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;4.19;0.00;0.71;4.07;7.12;-0.08;0.25;-2.09;3.42;4.46;1.21;0.00;0.00;0.00;0.00;10.2;10.2;4.63;7.51;10.7;6.74;6.02;7.07;1.75;2.05;5.99;16.9
"BV/акцию, руб";0.00;123.1;106.4;95.4;105.9;-96.5;0.00;113.3;0.00;125.7;141.4;123.8;127.9;115.7;120.3;120.6;154.5;0.00;0.00;0.00;150.7;168.4;196.8;184.1;191.2;177.7;202.5;210.5;165.1;156.0;163.5;163.5
"Рентаб EBITDA, %";;;;;;66.7%;0.0%;101.0%;79.9%;66.0%;56.8%;65.9%;58.5%;62.1%;62.6%;64.6%;68.1%;55.0%;55.0%;198.0%;82.0%;78.7%;78.0%;71.7%;73.2%;68.2%;87.6%;58.0%;47.3%;56.6%;45.6%;52.6%
"Чистая рентаб, %";;;;;;15.4%;9.2%;27.0%;26.7%;31.1%;8.4%;19.9%;5.3%;4.5%;10.6%;2.1%;-32.4%;15.8%;15.8%;185.7%;51.8%;36.8%;42.8%;61.9%;46.1%;28.4%;46.7%;3.7%;-157.3%;-14.4%;14.1%;-33.2%
"Доходность FCF, %";;;;;;;;;;;;11.2%;4.4%;1.6%;7.2%;9.5%;17.2%;14.6%;4.0%;0.0%;17.5%;22.8%;20.7%;22.4%;25.8%;24.4%;31.5%;30.9%;23.7%;22.1%;21.2%;22.3%
"ROE, %";;0.0%;0.0%;0.0%;0.0%;2.9%;;6.4%;;9.7%;8.7%;7.4%;5.0%;2.9%;2.9%;1.6%;-1.2%;;;;13.7%;14.9%;15.9%;19.1%;18.0%;18.0%;15.0%;9.2%;-1.4%;-5.0%;-8.2%;-8.2%
"ROA, %";;;0.0%;0.0%;0.0%;;;3.2%;;;4.1%;3.8%;2.6%;1.5%;1.6%;0.8%;-0.8%;;;4.5%;9.0%;10.1%;11.1%;13.3%;13.0%;12.3%;11.1%;6.8%;-1.0%;-3.6%;-5.9%;-5.9%
P/E;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;9.87;14.1;27.3;23.7;38.3;-29.0;-438.2;25.5;4.39;2.82;3.55;3.85;4.13;3.71;3.80;3.24;5.07;-38.6;-9.81;-5.96;-5.66
P/FCF;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;8.89;22.6;61.2;13.9;10.5;5.82;6.83;24.8;;5.72;4.38;4.82;4.46;3.87;4.10;3.18;3.23;4.23;4.53;4.72;4.49
P/S;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;2.21;2.42;2.62;2.41;2.16;1.48;0.96;0.66;0.91;1.21;1.70;2.06;1.99;1.74;1.74;1.52;1.66;1.80;1.66;1.98;1.88
P/BV;;0.00;0.00;0.00;0.00;0.00;;0.00;;0.00;0.00;0.73;0.71;0.80;0.70;0.61;0.34;;;;0.39;0.53;0.61;0.79;0.67;0.68;0.49;0.47;0.55;0.49;0.49;0.46
EV/EBITDA;;;;;;7.68;0.00;3.80;0.00;3.03;1.98;4.95;7.28;7.62;7.20;7.03;3.72;1.56;1.10;2.17;2.15;2.49;2.83;2.73;2.45;2.35;2.10;2.31;2.69;2.51;3.49;3.30
Долг/EBITDA;;;;;;7.68;0.00;3.80;0.00;3.03;1.98;1.69;3.38;3.32;3.33;3.54;1.42;0.00;0.00;0.92;0.57;0.45;0.49;0.16;0.15;-0.03;0.08;0.01;0.03;-0.04;-0.27;-0.27
"Персонал, чел";;;;;;;;;;;;"8 000";;;;;;;;;;;;;;;;;;;;
"Производительность труда, млн руб/чел/год";;;;;;;;;;;;2.68;;;;;;;;;;;;;;;;;;;;
"Расходы/чел/год, тыс.р";;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;
"R&D/CAPEX, %";;;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;;;;;;;;;;;;;;;
"CAPEX/Выручка, %";;;;;;0%;0%;0%;35%;9%;51%;40%;54%;7%;28%;47%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"IR рейтинг";;;;;;;;;;;;;;3.6;4.1;;;;;;;;;;;;;;;;;
"Качество фин.отчетности";;;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;
"Презентации для инвесторов";;;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;
"Присутствие на смартлабе";;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;
"Годовой отчет";;;;;;;;;;;;;;5;5;;;;;;;;;;;;;;;;;
"Сайт для инвесторов";;;;;;;;;;;;;;5;5;;;;;;;;;;;;;;;;;
"Календарь инвесторов";;;;;;;;;;;;;;5;5;;;;;;;;;;;;;;;;;
"Обратная связь";;;;;;;;;;;;;;1;5;;;;;;;;;;;;;;;;;
