;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Див.выплата, млрд руб";2.24;0.000;0.250;1.83;7.44;8.18;10.8;10.8;15.4;65.8;38.6;73.9;47.7;70.3;64.7;0.000;42.7;18.3;0.000
"Дивиденд, руб/акцию";0,3;0;0,03;0,25;1,01;1,11;1,47;1,47;2,09;8,93;5,24;10,04;6,47;9,54;8,79;0;5,79;2,49;0
"Див доход, ао, %";;;;0.8%;3.3%;3.7%;4.1%;2.3%;3.7%;9.2%;7.0%;10.2%;7.7%;9.7%;7.2%;0.0%;8.3%;4.3%;0.0%
"Дивиденды/прибыль, %";;;;;28%;24%;34%;0%;48%;49%;49%;82%;76%;218%;71%;0%;50%;86%;0
"Опер. расходы, млрд руб";;;;;;;;;;;;44.8;42.8;33.8;43.0;26.5;43.4;54.8;38.2
"Себестоимость, млрд руб";;;;;;;;;93.2;129.8;133.9;126.5;119.1;117.0;173.0;154.6;175.6;157.5;138.3
"Амортизация, млрд руб";;;;;;;;;;;;21.4;24.1;23.1;23.9;22.6;28.4;33.3;35.8
"НИОКР, млрд руб";;;;;;;0.258;0.170;0.242;0.212;;1.80;2.20;;;;;;
"Расх на персонал, млрд руб";;;;;;;;30.2;40.3;43.7;43.6;43.7;48.5;56.4;61.5;58.0;80.7;90.6;93.4
"Процентные расходы, млрд руб";;;;;;;;9.39;12.1;11.4;9.99;6.00;7.47;8.50;5.51;3.10;3.37;7.03;14.6
"Активы, млрд руб";;;;;;;;388.0;435.1;472.7;427.8;411.2;430.1;519.0;423.7;520.6;596.6;658.7;673.0
"Чистые активы, млрд руб";;;;;;;;137.1;151.7;257.2;266.8;247.6;253.4;264.0;223.6;322.3;381.9;371.0;410.5
"Долг, млрд руб";;;;;95.6;122.7;138.6;197.2;223.2;142.3;93.4;106.7;117.3;167.8;122.5;105.4;135.4;196.6;176.3
"Наличность, млрд руб";;;;;12.0;6.24;9.27;21.7;20.5;59.0;7.38;39.2;37.6;136.6;61.3;95.8;99.3;88.7;115.4
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;83.5;116.5;129.3;175.5;202.7;83.4;86.0;67.4;79.7;31.2;61.2;9.55;36.1;107.9;60.9
"Цена акции ао, руб";;;;31.0;31.0;30.0;35.7;63.0;56.0;97.0;75.1;98.6;84.3;98.8;122.5;58.8;69.6;57.5;40.4
"Число акций ао, млн";;;;"7 365";"7 365";"7 365";"7 365";"7 365";"7 365";"7 365";"7 365";"7 365";"7 365";"7 365";"7 365";"7 365";"7 365";"7 365";"7 365"
"Free Float, %";;;;;;;;;;;;;;;;;;34.0%;34.0%
"Инсайдерское владение, %";;;;;;;;;;;0.035%;;;;;;;;
"Капитализация, млрд руб";0.00;0.00;0.00;228.3;228.3;220.9;262.7;464.0;412.4;714.4;552.8;726.3;621.0;727.5;902.3;433.1;512.8;423.8;297.2
"EV, млрд руб";0.00;0.00;0.00;228.3;311.9;337.4;392.0;639.5;615.1;797.8;638.9;793.8;700.7;758.7;963.5;442.6;548.9;531.7;358.1
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;135.6;150.3;255.8;265.4;246.2;251.9;262.6;222.2;320.9;380.5;366.3;405.9
"EPS, руб";;;;0.00;3.62;4.57;4.32;-2.29;4.37;18.1;10.7;12.3;8.51;4.37;12.4;13.6;11.6;2.87;3.43
"FCF/акцию, руб";;;;0.00;3.77;1.62;2.37;5.71;5.61;15.1;9.98;12.5;6.46;10.8;14.4;6.83;0.36;-2.39;-8.72
"BV/акцию, руб";;;;0.00;0.00;0.00;0.00;18.4;20.4;34.7;36.0;33.4;34.2;35.7;30.2;43.6;51.7;49.7;55.1
"Рентаб EBITDA, %";;;;;45.2%;41.1%;41.0%;45.3%;52.8%;55.6%;46.1%;52.1%;45.0%;40.3%;42.7%;47.6%;41.8%;32.9%;27.5%
"Чистая рентаб, %";;;;;19.4%;22.3%;18.9%;-8.1%;14.3%;42.1%;28.5%;30.2%;26.3%;14.8%;27.9%;34.0%;26.4%;8.8%;13.0%
"Доходность FCF, %";;;;0.0%;12.2%;5.4%;6.7%;9.1%;10.0%;15.6%;13.3%;12.7%;7.7%;10.9%;11.7%;11.6%;0.5%;-4.2%;-21.6%
"ROE, %";;;;;;;;-12.3%;21.2%;51.9%;29.5%;36.5%;24.7%;12.2%;40.8%;31.1%;22.3%;5.7%;6.2%
"ROA, %";;;;;;;;-4.3%;7.4%;28.2%;18.4%;22.0%;14.6%;6.2%;21.5%;19.3%;14.3%;3.2%;3.8%
P/E;;;;;8.56;6.57;8.25;-27.6;12.8;5.35;7.03;8.03;9.90;22.6;9.88;4.32;6.02;20.0;11.8
P/FCF;;;;;8.22;18.5;15.0;11.0;9.99;6.41;7.52;7.87;13.0;9.16;8.52;8.60;193.5;-24.1;-4.63
P/S;;;;;1.66;1.46;1.56;2.24;1.84;2.25;2.01;2.42;2.61;3.35;2.76;1.47;1.59;1.77;1.53
P/BV;;;;;;;;3.42;2.74;2.79;2.08;2.95;2.46;2.77;4.06;1.35;1.35;1.16;0.73
EV/EBITDA;;;;;5.01;5.45;5.67;6.81;5.19;4.52;5.03;5.08;6.54;8.66;6.91;3.15;4.07;6.76;6.71
Долг/EBITDA;;;;;1.34;1.88;1.87;1.87;1.71;0.47;0.68;0.43;0.74;0.36;0.44;0.07;0.27;1.37;1.14
"Персонал, чел";;;;;;;;"40 227";"39 508";"38 104";"36 887";"34 579";"34 500";"32 475";;;"21 646";"21 770";
"Производительность труда, млн руб/чел/год";;;;;;;;5.15;5.68;8.32;7.47;8.67;6.90;6.69;;;14.9;11.0;
"Расходы/чел/год, тыс.р";;;;;;;;749.7;"1 019";"1 146";"1 181";"1 265";"1 405";"1 736";;;"3 728";"4 162";
"R&D/CAPEX, %";;;;;;;0.61%;0.48%;0.71%;0.67%;0.00%;6.47%;11.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;;0%;0%;25%;17%;15%;10%;10%;9%;8%;8%;6%;14%;20%;25%;30%
"IR рейтинг";;;;;;;;;;;;;;;3.9;1.0;1.6;1.6;1.6
"Качество фин.отчетности";;;;;;;;;;;;;;;5;1;5;5;5
"Презентации для инвесторов";;;;;;;;;;;;;;;5;1;1;1;1
"Присутствие на смартлабе";;;;;;;;;;;;;;;1;1;1;1;1
"Годовой отчет";;;;;;;;;;;;;;;5;1;1;1;1
"Сайт для инвесторов";;;;;;;;;;;;;;;5;1;1;1;1
"Календарь инвесторов";;;;;;;;;;;;;;;5;1;1;1;1
"Обратная связь";;;;;;;;;;;;;;;1;1;1;1;1
