;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Чистые активы, млрд руб";;;;;;196.4;249.7;245.2;248.6;249.4;247.0;209.5;180.1;187.5;200.0;222.0;219.0;222.4;222.4
"Долг, млрд руб";143.7;116.1;138.0;172.8;214.4;217.8;126.6;186.5;187.1;191.4;204.3;361.8;404.9;444.4;449.0;487.9;571.8;572.2;572.2
"Наличность, млрд руб";19.6;13.6;12.6;7.38;10.4;7.96;7.17;16.9;4.26;3.82;10.1;19.6;31.0;49.6;52.3;44.7;46.4;26.3;26.3
"Чистый долг, млрд руб";124.1;102.5;125.4;165.4;204.0;209.8;119.5;169.6;182.8;187.6;194.2;342.2;373.9;394.8;396.7;443.3;525.4;546.0;546.0
"Цена акции ао, руб";158.8;105.5;155.8;123.5;120.4;111.0;87.0;90.6;84.0;63.9;73.1;78.4;96.8;87.2;56.0;68.3;65.8;64.0;64.7
"Число акций ао, млн";"5 189";"5 189";"5 189";"5 189";"5 189";"5 189";"5 189";"5 189";"2 575";"2 575";"2 575";"2 575";"3 283";"3 283";"3 283";"3 283";"3 283";"3 283";"3 283"
"Цена акции ап, руб";14.7;63.9;80.0;95.3;90.5;74.8;57.1;69.1;62.8;56.0;60.4;70.2;85.6;76.2;55.6;62.8;56.0;61.8;62.4
"Число акций ап, млн";209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6
"Free Float, %";;;;;;;;;;;;;;;;;;29.0%;29.0%
"Капитализация, млрд руб";827.3;560.8;824.9;660.5;643.7;591.5;463.4;484.3;229.5;176.3;200.8;216.5;335.7;302.3;195.5;237.5;227.7;223.0;225.4
"EV, млрд руб";951.4;663.3;950.3;826.0;847.7;801.4;582.9;653.9;412.3;363.8;395.0;558.7;709.6;697.1;592.2;680.8;753.1;769.0;771.3
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;196.4;188.9;186.8;187.4;189.5;180.8;83.5;39.1;38.5;47.6;41.8;3.90;-10.1;-10.1
"EPS, руб";5.20;5.06;6.04;8.20;6.79;5.14;2.54;2.77;4.56;5.32;5.58;7.84;7.10;8.70;9.45;10.5;4.64;3.46;3.46
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;3.63;5.26;4.23;5.16;7.92;14.1;6.75;2.60;4.38;6.96;6.33;3.99;1.57;1.57
"BV/акцию, руб";0.00;0.00;0.00;0.00;0.00;37.8;36.4;36.0;72.8;73.6;70.2;32.4;11.9;11.7;14.5;12.7;1.19;-3.08;-3.08
"Рентаб EBITDA, %";;;;39.0%;36.9%;35.8%;34.3%;33.9%;32.5%;31.7%;31.5%;50.6%;35.5%;37.7%;39.6%;40.0%;38.8%;37.9%;37.9%
"Чистая рентаб, %";;;;14.1%;11.0%;9.2%;4.4%;4.8%;4.0%;4.5%;4.5%;6.0%;4.3%;4.9%;4.9%;4.9%;2.0%;1.3%;1.3%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%;3.3%;6.0%;4.7%;6.1%;12.4%;19.3%;8.6%;2.7%;5.0%;12.4%;9.3%;6.1%;2.5%;2.4%
"ROE, %";;;;;;13.6%;5.3%;5.9%;4.7%;5.5%;5.8%;9.6%;12.9%;15.2%;15.5%;15.5%;7.0%;5.1%;5.1%
"ROA, %";;;;;;;;2.6%;2.1%;2.4%;2.2%;2.3%;2.3%;2.6%;2.8%;2.8%;1.1%;0.8%;0.8%
P/E;30.6;21.4;26.3;15.5;18.3;22.2;35.2;33.7;19.5;12.9;14.0;10.7;14.4;10.6;6.30;6.90;15.0;19.6;19.9
P/FCF;;;;;;31.4;17.0;22.1;17.3;8.65;5.54;12.5;39.3;21.0;8.55;11.4;17.4;43.2;43.7
P/S;;;;2.19;2.00;2.03;1.55;1.63;0.77;0.58;0.63;0.64;0.61;0.52;0.31;0.34;0.29;0.26;0.26
P/BV;;;;;;3.01;2.45;2.59;1.22;0.93;1.11;2.59;8.57;7.86;4.11;5.68;58.4;-22.1;-22.3
EV/EBITDA;10.6;6.53;9.37;7.02;7.15;7.69;5.69;6.49;4.26;3.76;3.91;3.27;3.66;3.19;2.39;2.40;2.49;2.32;2.33
Долг/EBITDA;1.39;1.01;1.24;1.41;1.72;2.01;1.17;1.68;1.89;1.94;1.92;2.00;1.93;1.80;1.60;1.57;1.74;1.65;1.65
"Персонал, чел";;;;;"173 900";"165 100";"158 800";"149 900";"142 500";"133 700";"129 000";"126 900";"136 700";;;"114 400";;;
"Производительность труда, млн руб/чел/год";;;;;1.85;1.76;1.88;1.98;2.09;2.28;2.48;2.66;4.00;;;6.19;;;
"Расходы/чел/год, тыс.р";;;;;484.8;0.00;0.00;607.7;633.7;698.4;754.7;945.6;997.7;;;"1 538";;;
"R&D/CAPEX, %";;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;0%;28%;18%;18%;21%;21%;20%;23%;40%;25%;25%;19%;21%;23%;18%;18%
"IR рейтинг";;;;;;;;;;;;;;;;4.1;4.3;4.3;4.3
"Качество фин.отчетности";;;;;;;;;;;;;;;;5;5;5;5
"Презентации для инвесторов";;;;;;;;;;;;;;;;4;5;5;5
"Присутствие на смартлабе";;;;;;;;;;;;;;;;1;1;1;1
"Годовой отчет";;;;;;;;;;;;;;;;5;5;5;5
"Сайт для инвесторов";;;;;;;;;;;;;;;;5;5;5;5
"Календарь инвесторов";;;;;;;;;;;;;;;;4;4;4;4
"Обратная связь";;;;;;;;;;;;;;;;5;5;5;5
