;2012Q4;2013Q4;2014Q4;2015Q4;2016Q1;2016Q2;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q4;2023Q2;2023Q4;2024Q2;2024Q4;2025Q2;LTM
"Число акций ао, млн";660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5;660.5
"Free Float, %";;;;;;;36.7%;;;;;;;;;;;;17.6%;;;;;;;;;;;;;21.0%;21.0%;21.0%
"Капитализация, млрд руб";44.6;47.2;123.5;144.6;165.8;165.1;191.5;196.2;196.2;208.9;215.7;208.2;220.6;229.6;248.5;233.5;247.6;264.5;264.5;268.1;281.4;375.1;395.4;607.3;711.4;924.7;731.8;398.3;498.5;448.3;593.6;324.8;392.7;311.0
"EV, млрд руб";87.6;65.2;134.5;140.7;165.8;165.1;232.2;196.2;239.8;208.9;230.7;208.2;236.0;229.6;251.0;233.5;297.7;264.5;321.7;268.1;193.2;375.1;440.5;607.3;833.2;924.7;845.9;398.3;697.8;597.6;751.8;352.1;355.0;273.3
"Баланс стоимость, млрд руб";0.00;19.9;20.6;31.8;0.00;0.00;50.7;0.00;48.0;0.00;54.8;0.00;60.0;0.00;76.3;0.00;57.3;0.00;95.3;0.00;113.7;0.00;166.2;0.00;204.6;0.00;240.9;0.00;339.7;345.3;385.8;376.7;407.0;407.0
"EPS, руб";0.00;0.00;0.00;0.00;0.00;1.98;0.00;0.00;-3.82;0.00;8.53;0.00;0.48;0.00;31.7;0.00;11.2;0.00;56.7;0.00;27.6;0.00;102.6;0.00;105.1;0.00;51.8;0.00;41.9;37.4;61.7;23.3;48.3;71.6
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-33.6;0.00;-36.1;0.00;-178.6;0.00;-125.6;0.00;-282.7;0.00;-189.3;15.7;-157.3;-141.6
"BV/акцию, руб";0.00;30.1;31.2;48.1;0.00;0.00;76.8;0.00;72.7;0.00;83.0;0.00;90.9;0.00;115.5;0.00;86.7;0.00;144.3;0.00;172.1;0.00;251.6;0.00;309.8;0.00;364.7;0.00;514.3;522.7;584.0;570.3;616.1;616.1
"Рентаб EBITDA, %";;;;;0.0%;16.1%;;0.0%;7.0%;;8.0%;;11.4%;;20.9%;;16.4%;;28.3%;;18.6%;;26.8%;;19.0%;;18.5%;;20.9%;26.2%;22.1%;20.9%;10.1%;16.1%
"Чистая рентаб, %";;;;;0.0%;6.9%;;0.0%;-6.1%;;4.2%;;0.3%;;13.5%;;7.2%;;21.2%;;13.1%;;28.1%;;36.7%;;11.5%;;10.5%;7.7%;15.4%;3.8%;9.7%;6.4%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;-7.9%;-5.9%;-11.6%;-7.6%;-19.9%;-15.3%;-27.5%;0.0%;-37.4%;-41.6%;-21.1%;-35.3%;-23.8%;-30.1%
"ROE, %";;0.0%;0.0%;0.0%;;;2.4%;;-4.9%;;5.6%;;9.8%;;27.2%;;47.7%;;41.3%;;43.8%;;47.7%;;62.6%;;40.4%;;7.9%;14.9%;16.7%;14.7%;11.5%;11.5%
"ROA, %";;0.0%;0.0%;0.0%;;;0.4%;;;;0.8%;;;;5.8%;;;;9.5%;;10.4%;;13.3%;;17.0%;;9.8%;;2.0%;3.7%;4.3%;3.7%;2.8%;2.8%
P/E;;;;;;126.1;146.3;149.9;-77.8;-82.9;69.2;66.8;37.1;38.6;11.7;11.0;8.73;9.33;5.89;5.97;5.06;6.74;4.60;7.06;5.18;6.74;7.06;;18.0;8.55;9.07;5.79;8.31;6.58
P/FCF;;;;;;;;;;;;;;;;;;;;;-12.7;-16.9;-8.60;-13.2;-5.02;-6.52;-3.64;;-2.67;-2.40;-4.75;-2.83;-4.20;-3.33
P/S;;;;;8.08;4.19;4.86;3.07;2.27;2.42;0.98;1.19;0.98;1.02;1.01;0.95;0.96;1.02;0.94;0.96;0.89;1.19;1.04;1.60;1.65;2.15;1.50;;1.88;0.77;1.01;0.48;0.53;0.42
P/BV;;2.38;6.00;4.55;;;3.78;;4.09;;3.93;;3.67;;3.26;;4.32;;2.77;;2.48;;2.38;;3.48;;3.04;;1.47;1.30;1.54;0.86;0.96;0.76
EV/EBITDA;;;;;;54.3;76.3;64.5;82.2;71.6;17.0;15.3;11.2;10.9;5.87;5.45;6.01;5.34;4.80;4.00;2.55;4.94;4.87;6.72;8.30;9.21;9.30;;12.6;4.30;5.28;2.44;3.45;2.30
Долг/EBITDA;;;;;;0.00;13.4;0.00;15.0;0.00;1.11;0.00;0.73;0.00;0.06;0.00;1.01;0.00;0.85;0.00;-1.16;0.00;0.50;0.00;1.21;0.00;1.25;;3.60;1.07;1.11;0.19;-0.37;-0.32
"Персонал, чел";;;;;;;;;;;;;;;;;;;"25 500";;;;"30 000";;;;"1 907";"1 879";;"2 057";;"1 986";;
"Производительность труда, млн руб/чел/год";;;;;;;;;;;;;;;;;;;6.94;;;;8.04;;;;156.5;0.00;;155.8;;206.6;;
"Расходы/чел/год, тыс.р";;;;;;;;;;;;;;;;;;;0.00;;;;0.00;;;;0.00;0.00;;0.00;;0.00;;
"R&D/CAPEX, %";;;;;;;;;;;;;;;;;0.00%;;;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;;0%;0%;;0%;0%;;0%;;0%;;0%;;1%;;0%;;1%;;1%;;2%;;2%;;1%;1%;2%;2%;1%;2%
"IR рейтинг";;;;;;;;;;;;;;;;;;;;3.3;3.3;3.3;;3.3;3.3;3.3;3.3;3.3;3.3;1.3;1.3;1.3;1.3;1.3
"Качество фин.отчетности";;;;;;;;;;;;;;;;;;;;3;3;3;;3;3;3;3;3;3;3;3;3;3;3
"Презентации для инвесторов";;;;;;;;;;;;;;;;;;;;4;4;4;;4;4;4;4;4;4;1;1;1;1;1
"Присутствие на смартлабе";;;;;;;;;;;;;;;;;;;;3;3;3;;3;3;3;3;3;3;1;1;1;1;1
"Годовой отчет";;;;;;;;;;;;;;;;;;;;3;3;3;;3;3;3;3;3;3;1;1;1;1;1
"Сайт для инвесторов";;;;;;;;;;;;;;;;;;;;3;3;3;;3;3;3;3;3;3;1;1;1;1;1
"Календарь инвесторов";;;;;;;;;;;;;;;;;;;;2;2;2;;2;2;2;2;2;2;1;1;1;1;1
"Обратная связь";;;;;;;;;;;;;;;;;;;;5;5;5;;5;5;5;5;5;5;1;1;1;1;1
