;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Див доход, ао, %";;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;0
"Опер. расходы, млрд руб";20.0;28.5;36.0;44.1;52.7;64.7;76.5;81.5;93.1;113.0;122.7;158.8;;193.1
"Себестоимость, млрд руб";112.8;150.1;196.5;238.6;286.9;324.8;325.8;344.1;372.5;416.7;486.3;695.8;;810.5
"Амортизация, млрд руб";;;5.7;7.7;9.7;12.1;14.7;14.7;16.1;18.2;19.6;23.1;;24.9
"Расх на персонал, млрд руб";;;17.5;21.0;24.8;25.2;28.1;31.3;35.4;44.2;48.2;69.8;;88.1
"Процентные расходы, млрд руб";;;10.0;10.1;10.9;10.4;9.26;6.22;4.92;4.92;10.2;14.3;;6.89
"Активы, млрд руб";;;173.4;226.2;246.7;278.1;295.7;247.6;288.0;348.0;462.2;495.4;;
"Чистые активы, млрд руб";4.92;16.7;47.1;58.4;71.8;82.8;80.1;97.3;111.0;135.2;126.9;149.0;;
"Долг, млрд руб";46.0;71.2;75.9;102.2;107.1;127.1;150.5;79.0;88.4;81.1;139.9;107.9;;86.8
"Наличность, млрд руб";6.21;12.0;22.5;13.0;14.3;33.8;73.4;21.8;33.3;29.0;44.5;47.0;;15.3
"Чистый долг, млрд руб";39.8;59.2;53.5;89.2;92.8;93.3;77.1;57.1;55.1;52.1;95.4;60.9;0.00;71.5
"Цена акции ао, руб";;364.0;498.0;492.0;336.0;214.0;192.0;262.9;998.0;691.0;670.5;"1 195";"1 982";"2 089"
"Число акций ао, млн";486.6;486.6;486.6;486.6;486.6;486.6;487.9;487.9;97.6;116.0;116.0;116.0;116.0;116.0
"Free Float, %";;;;;58.6%;;21.0%;21.0%;17.0%;;;21.0%;21.0%;
"Капитализация, млрд руб";0.00;177.1;242.3;239.4;163.5;104.1;93.7;128.3;97.4;80.1;77.8;138.6;229.9;242.3
"EV, млрд руб";39.8;236.3;295.8;328.6;256.3;197.4;170.8;185.4;152.5;132.2;173.1;199.5;229.9;313.8
"Баланс стоимость, млрд руб";4.92;16.7;46.0;56.5;70.0;80.8;77.8;94.7;107.9;129.9;58.4;76.6;0.00;0
"EPS, руб";14.7;18.7;21.1;23.0;27.3;24.2;-4.31;35.8;139.8;41.8;-22.7;194.0;0.00;269.3
"FCF/акцию, руб";0.00;0.00;0.00;-46.9;-6.58;-0.51;35.0;40.7;21.5;86.6;-370.7;271.6;0.00;174.5
"BV/акцию, руб";10.1;34.4;94.6;116.1;143.8;166.1;159.5;194.1;"1 106";"1 120";503.3;660.6;0.00;0
"Рентаб EBITDA, %";11.2%;11.0%;11.1%;10.4%;9.7%;8.8%;8.1%;8.8%;8.1%;6.1%;5.5%;7.7%;0.0%;7.6%
"Чистая рентаб, %";5.0%;4.7%;4.1%;3.7%;3.6%;2.9%;-0.5%;3.9%;2.8%;0.9%;-0.4%;2.5%;0.0%;3.0%
"Доходность FCF, %";;0.0%;0.0%;-9.5%;-2.0%;-0.2%;18.2%;15.5%;2.2%;12.5%;-55.3%;22.7%;0.0%;8.4%
"ROE, %";145.4%;54.4%;21.8%;19.2%;18.5%;14.3%;-2.6%;17.9%;12.3%;3.6%;-2.1%;15.1%;;
"ROA, %";;;5.9%;5.0%;5.4%;4.2%;-0.7%;7.0%;4.7%;1.4%;-0.6%;4.5%;;
P/E;0.00;19.5;23.6;21.4;12.3;8.83;-44.5;7.35;7.14;16.5;-29.6;6.16;;7.76
P/FCF;;;;-10.5;-51.1;-416.5;5.49;6.46;46.4;7.98;-1.81;4.40;;12.0
P/S;0.00;0.91;0.96;0.78;0.45;0.25;0.22;0.29;0.20;0.15;0.13;0.16;0.21;0.23
P/BV;0.00;10.6;5.26;4.24;2.34;1.29;1.20;1.35;0.90;0.62;1.33;1.81;;
EV/EBITDA;2.47;11.0;10.5;10.3;7.22;5.45;5.03;4.72;3.89;4.05;5.16;2.93;;3.95
Долг/EBITDA;2.47;2.77;1.90;2.81;2.61;2.58;2.27;1.45;1.40;1.60;2.84;0.89;;0.90
"Персонал, чел";;"35 100";"38 414";"45 689";"42 366";"45 759";"48 391";"51 832";"52 857";;"67 808";"66 717";;
"Производительность труда, млн руб/чел/год";;5.53;6.58;6.71;8.62;9.04;8.63;8.60;9.15;;9.08;13.3;;
"Расходы/чел/год, тыс.р";;0.00;455.7;460.0;586.5;550.8;581.1;603.2;670.4;;710.8;"1 046";;
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0
"CAPEX/Выручка, %";0%;0%;0%;14%;7%;5%;3%;2%;6%;2%;2%;3%;0%;4%
"IR рейтинг";;;;;;;;;;;5.0;5.0;4.4;4.4
"Качество фин.отчетности";;;;;;;;;;;5;5;5;5
"Презентации для инвесторов";;;;;;;;;;;5;5;5;5
"Присутствие на смартлабе";;;;;;;;;;5;5;5;3;3
"Годовой отчет";;;;;;;;;;;5;5;5;5
"Сайт для инвесторов";;;;;;;;;;5;5;5;3;3
"Календарь инвесторов";;;;;;;;;;;5;5;5;5
"Обратная связь";;;;;;;;;;5;5;5;5;5
