;2010Q4;2011Q4;2012Q4;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"FCF, млрд руб";;;;;3.04;3.33;3.34;-2.41;10.2;7.92;3.28;10.4;10.3;1.90;9.10;-8.80;-1.50;3.60;2.30;-8.70;1.30;8.40;12.4;-1.60;18.8;10.2;3.61;-4.29;18.3;2.02;19.4;2.85;15.2;19.0;20.7;22.9;33.7;7.20;40.7;22.8;43.4;16.7;20.9;-10.8;3.80;22.8;9.39;-6.99;33.8;21.5;2.20;50.5
"Див.выплата, млрд руб";;;;;0.000;3.24;2.59;;6.22;7.38;8.16;;8.16;4.27;5.05;;2.72;3.10;2.72;1.95;3.11;5.83;9.32;6.60;9.30;6.99;6.22;2.39;10.1;4.27;15.9;8.16;13.6;20.2;30.3;50.5;;50.5;41.2;60.2;34.2;;37.7;38.1;1.94;15.1;16.3;11.3;26.0;35.4;;72.6
"Дивиденд, руб/акцию";;;;;0;25;20;;48;57;63;;63;33;39;;21;24;21;15;24;45;72;51;72;54;48;18;78;33;123;63;105;156;234;390;;390;318;465;264;;291;294;15;117;126;87;201;273;;561
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;;;;0.0%;2.4%;2.8%;2.3%;0.0%;2.3%;1.2%;1.6%;0.0%;0.9%;1.0%;0.9%;0.6%;1.0%;2.0%;2.9%;2.0%;3.0%;2.2%;1.9%;0.7%;3.2%;1.3%;4.3%;2.0%;2.6%;3.3%;4.6%;6.7%;0.0%;4.9%;5.1%;7.3%;3.5%;0.0%;4.3%;4.5%;0.2%;2.0%;2.3%;1.4%;3.1%;4.3%;0.0%;8.8%
"Дивиденды/прибыль, %";;;;;;;;;;;;;36%;32%;47%;0%;49%;51%;47%;53%;49%;50%;72%;61%;69%;76%;53%;28%;61%;76%;84%;377%;64%;84%;76%;112%;0%;102%;99%;188%;101%;0%;139%;138%;9%;79%;50%;41%;71%;141%;0%;62%
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.93;8.22;;;9.60;10.4;10.4;11.3;10.3;10.7;11.2;43.5
"Себестоимость, млрд руб";;;;;17.1;15.8;16.8;17.8;19.7;21.2;21.5;20.6;24.0;22.1;22.6;17.9;24.4;25.2;27.2;24.7;32.1;29.8;32.6;29.5;37.7;31.7;35.2;31.6;36.6;31.4;35.8;63.0;48.9;46.3;57.3;66.3;76.1;75.1;62.3;55.6;64.3;58.1;62.2;66.9;75.5;75.3;76.7;66.0;88.5;83.6;87.7;325.7
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.5;6.3;7.1;6.8;7.4;8.0;7.3;6.9;7.8;7.9;8.4;8.2;9.3;9.3;9.4;8.6;10.0;9.8;10.6;39.0
"Расх на персонал, млрд руб";;;;;3.94;3.50;3.60;4.31;3.70;4.07;4.22;5.33;4.44;5.52;3.82;5.41;5.31;4.80;4.96;5.07;5.49;5.80;5.63;5.44;6.08;6.21;6.17;6.24;7.54;6.89;7.18;6.90;8.37;7.54;8.26;8.61;23.3;9.74;9.11;9.44;10.3;11.8;12.5;12.7;14.9;6.40;9.03;32.2;17.8;16.9;16.4;83.4
"Процентные расходы, млрд руб";;;;;0.703;0.221;0.660;1.11;1.74;1.29;1.54;0.881;1.74;1.06;1.23;0.939;1.11;0.978;1.10;1.37;0.988;1.77;0.302;2.15;0.114;1.89;0.132;1.71;0.483;1.73;0.185;1.70;0.607;1.91;0.652;1.78;1.55;1.44;0.823;1.46;1.61;1.62;2.02;;2.77;4.89;5.70;1.34;6.41;5.85;4.44;18.0
"Активы, млрд руб";;;;;137.4;136.0;146.7;179.7;195.6;189.7;203.9;216.5;218.1;224.9;222.0;229.2;232.1;239.8;237.2;251.6;255.6;261.3;270.5;286.2;298.1;290.9;285.9;302.6;319.7;309.3;321.2;320.0;334.5;351.0;409.0;405.4;;474.3;521.2;455.6;507.0;475.6;495.2;525.6;535.1;589.0;340.0;592.5;590.9;597.1;613.7;613.7
"Чистые активы, млрд руб";;;;56.3;58.4;58.4;54.8;35.8;50.2;60.9;60.9;60.0;73.3;78.6;82.3;88.3;94.6;92.7;97.1;98.1;102.6;104.7;110.3;109.6;120.8;116.3;126.4;125.5;106.3;113.6;110.1;107.6;126.0;134.0;153.0;164.6;;284.4;219.9;197.6;165.4;144.7;159.9;151.5;170.4;165.0;161.3;164.6;212.2;228.9;219.1;219.1
"Долг, млрд руб";;;;52.8;62.2;60.5;73.3;123.8;128.0;107.9;123.2;134.5;108.9;123.4;118.3;112.4;112.1;116.8;112.7;120.6;122.2;124.8;131.5;143.6;140.5;127.8;126.7;133.6;166.2;139.6;158.8;159.1;157.2;148.0;186.2;169.8;;131.3;138.1;190.8;211.8;228.2;260.0;248.1;281.3;287.4;339.0;331.6;281.1;262.0;271.9;271.9
"Наличность, млрд руб";;;;8.94;16.8;14.9;20.6;30.7;38.6;29.6;25.5;29.3;7.26;26.2;23.2;7.26;10.2;9.45;6.13;2.69;3.88;3.46;12.0;9.32;23.4;19.8;7.87;8.24;20.9;7.79;15.4;8.46;17.9;27.0;68.0;21.7;;71.9;106.9;13.4;72.4;31.7;36.4;29.2;21.6;74.0;69.8;10.4;21.9;20.2;22.5;22.5
"Чистый долг, млрд руб";0.00;0.00;0.00;43.8;45.4;45.6;52.7;93.1;89.4;78.3;97.7;105.2;101.6;97.2;95.1;105.1;101.9;107.3;106.5;117.9;118.3;121.3;119.5;134.2;117.1;107.9;118.9;125.3;145.3;131.8;143.4;150.6;139.3;121.0;118.2;148.1;0.00;59.4;31.2;177.4;139.4;196.5;223.6;218.9;259.7;213.4;269.2;321.2;259.2;241.8;249.4;249.4
"Цена акции ао, руб";"11 600";820.0;"1 247";950.0;;;;"1 655";"2 011";"2 060";"2 790";"2 821";"2 800";"2 757";"2 490";"2 599";"2 366";"2 301";"2 325";"2 499";"2 317";"2 270";"2 517";"2 546";"2 393";"2 484";"2 486";"2 408";"2 446";"2 638";"2 869";"3 138";"4 049";"4 759";"5 110";"5 838";"8 045";"7 880";"6 236";"6 398";"7 482";"7 298";"6 790";"6 590";"6 624";"5 857";"5 417";"6 361";"6 412";"6 321";"7 256";"6 355"
"Число акций ао, млн";129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5;129.5
"Free Float, %";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.0%;;26.0%;26.0%;26.0%
"Капитализация, млрд руб";"1 502";106.2;161.5;123.0;0.00;0.00;0.00;214.3;260.4;266.8;361.3;365.3;362.6;357.0;322.5;336.6;306.4;298.0;301.1;323.6;300.1;294.0;326.0;329.7;309.9;321.7;321.9;311.8;316.8;341.6;371.5;406.4;524.3;616.3;661.7;756.0;"1 042";"1 020";807.6;828.5;968.9;945.1;879.3;853.4;857.8;758.5;701.5;823.7;830.4;818.6;939.7;823.0
"EV, млрд руб";"1 502";106.2;161.5;166.8;45.4;45.6;52.7;307.5;349.8;345.1;459.0;470.5;464.2;454.2;417.5;441.7;408.3;405.3;407.6;441.5;418.4;415.3;445.5;463.9;427.0;429.6;440.8;437.2;462.1;473.4;514.9;557.0;663.6;737.3;779.9;904.1;"1 042";"1 080";838.7;"1 006";"1 108";"1 142";"1 103";"1 072";"1 117";971.9;970.7;"1 145";"1 090";"1 060";"1 189";"1 072"
"Баланс стоимость, млрд руб";0.00;0.00;0.00;56.3;57.9;57.9;54.3;35.3;49.7;60.4;60.3;59.4;72.1;77.9;81.3;87.1;93.2;91.0;95.3;96.3;100.8;102.8;108.4;107.8;119.1;114.7;124.8;123.9;104.8;112.2;108.6;106.0;124.4;132.4;151.4;162.8;0.00;282.6;218.1;195.5;163.3;142.5;157.6;148.7;167.9;162.5;158.8;161.6;209.3;226.0;216.1;216.1
"EPS, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;174.8;104.1;82.6;88.0;43.2;47.1;44.8;28.6;49.0;89.8;99.5;84.2;104.2;71.0;91.1;65.6;128.1;43.6;146.5;16.7;163.7;186.1;306.8;348.8;457.5;380.7;321.6;247.9;261.8;169.1;209.3;213.1;165.9;147.9;249.8;211.7;283.6;193.1;212.7;901.0
"FCF/акцию, руб";0.00;0.00;0.00;0.00;23.5;25.7;25.8;-18.6;78.9;61.1;25.3;80.1;79.5;14.7;70.3;-68.0;-11.6;27.8;17.8;-67.2;10.0;64.9;95.8;-12.4;145.2;78.8;27.8;-33.1;140.9;15.6;149.7;22.0;117.5;146.7;160.1;176.9;260.0;55.6;314.1;175.8;335.3;129.0;161.1;-83.2;29.3;176.1;72.5;-54.0;261.0;165.7;17.0;389.7
"BV/акцию, руб";0.00;0.00;0.00;434.8;447.0;446.9;419.1;272.3;383.8;466.4;465.8;458.8;556.8;601.3;627.6;672.7;720.0;702.7;736.2;743.9;778.3;794.1;837.3;832.7;919.9;885.5;963.9;956.8;808.9;866.4;838.6;818.5;960.6;"1 022";"1 169";"1 257";0.00;"2 182";"1 684";"1 509";"1 261";"1 100";"1 217";"1 148";"1 297";"1 255";"1 226";"1 248";"1 616";"1 745";"1 668";"1 668"
"Рентаб EBITDA, %";;;;;0.0%;0.0%;0.0%;0.0%;47.8%;39.1%;43.4%;41.5%;45.0%;35.5%;38.1%;33.5%;28.5%;27.3%;29.3%;27.9%;26.2%;33.0%;37.3%;31.2%;34.3%;31.5%;33.0%;21.0%;32.4%;31.9%;39.3%;30.3%;39.2%;43.7%;49.2%;48.1%;48.1%;31.2%;52.0%;53.1%;42.2%;49.2%;47.0%;28.7%;31.8%;31.9%;35.2%;39.9%;40.9%;35.9%;34.2%;37.8%
"Чистая рентаб, %";;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;40.4%;29.3%;23.5%;28.4%;12.6%;13.6%;12.5%;8.1%;11.6%;20.5%;20.5%;18.3%;18.7%;15.8%;18.3%;16.0%;25.9%;9.4%;26.7%;3.7%;24.2%;27.2%;34.2%;35.3%;32.8%;31.6%;33.9%;29.2%;29.2%;22.7%;23.3%;24.8%;18.0%;15.7%;25.0%;20.1%;23.0%;18.0%;19.2%;20.2%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;;;;3.4%;5.6%;7.1%;5.3%;8.7%;8.8%;7.2%;9.8%;3.7%;0.2%;0.8%;-1.5%;-1.3%;-0.5%;1.1%;4.1%;6.2%;12.3%;12.4%;9.6%;9.1%;8.8%;5.7%;9.5%;10.5%;7.5%;9.2%;8.7%;10.3%;9.2%;8.3%;12.9%;12.6%;11.8%;13.1%;11.8%;8.2%;3.6%;4.8%;3.6%;3.5%;7.1%;7.0%;5.4%;6.1%
"ROE, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;30.9%;45.9%;56.9%;65.9%;43.5%;36.5%;29.8%;21.6%;21.4%;26.2%;31.3%;38.1%;40.5%;40.0%;35.9%;34.3%;43.4%;37.4%;45.2%;40.3%;38.1%;49.6%;57.0%;79.1%;;68.0%;88.9%;92.3%;94.9%;89.6%;71.9%;72.9%;57.6%;57.8%;62.4%;61.0%;54.5%;53.1%;53.3%;53.3%
"ROA, %";;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;10.4%;16.1%;21.1%;25.4%;17.7%;14.1%;12.2%;8.4%;8.6%;10.5%;12.8%;14.6%;16.4%;16.0%;15.9%;14.2%;14.4%;13.8%;15.5%;13.6%;14.3%;18.9%;21.3%;32.1%;;40.8%;37.5%;40.0%;31.0%;27.2%;23.2%;21.0%;18.3%;16.2%;29.6%;16.9%;19.6%;20.3%;19.0%;19.0%
P/E;;;;;;;;;;;;;16.0;9.89;6.89;5.78;7.44;8.82;10.4;15.3;13.7;10.7;9.43;7.90;6.34;6.92;7.09;7.25;6.87;8.03;7.47;9.37;10.9;9.28;7.59;5.81;6.19;5.27;4.13;4.54;6.17;7.30;7.65;7.72;8.75;7.96;6.97;8.20;7.18;6.74;8.05;7.05
P/FCF;;;;;0.00;0.00;0.00;29.4;18.0;14.0;19.0;11.5;11.4;13.8;10.2;26.9;437.7;124.2;-68.4;-75.3;-200.0;89.1;24.3;16.1;8.16;8.08;10.4;11.0;11.4;17.4;10.5;9.56;13.3;10.9;11.4;9.71;10.8;12.1;7.73;7.94;8.50;7.65;8.48;12.2;28.0;20.7;27.8;28.4;14.1;14.2;18.6;16.3
P/S;;;;;0.00;0.00;0.00;1.74;1.81;1.67;2.02;1.92;1.85;1.80;1.65;1.79;1.74;1.70;1.71;1.78;1.57;1.44;1.48;1.41;1.23;1.27;1.27;1.26;1.32;1.41;1.50;1.60;1.89;2.01;1.88;1.80;2.03;1.76;1.38;1.45;1.92;2.12;2.00;1.94;1.93;1.62;1.45;1.62;1.52;1.45;1.62;1.42
P/BV;;;;2.18;0.00;0.00;0.00;6.08;5.24;4.42;5.99;6.15;5.03;4.58;3.97;3.86;3.29;3.27;3.16;3.36;2.98;2.86;3.01;3.06;2.60;2.81;2.58;2.52;3.02;3.04;3.42;3.83;4.21;4.65;4.37;4.64;;3.61;3.70;4.24;5.93;6.63;5.58;5.74;5.11;4.67;4.42;5.10;3.97;3.62;4.35;3.81
EV/EBITDA;;;;;;;;;14.6;8.42;7.37;5.74;5.58;5.50;5.31;6.10;6.83;7.28;7.85;8.61;7.91;7.00;6.44;6.19;5.00;5.05;5.31;5.78;6.46;6.54;6.52;6.50;6.69;6.20;5.26;4.71;4.26;4.25;3.21;3.90;5.04;5.22;5.26;5.86;6.50;5.95;6.29;6.47;5.33;4.92;5.43;4.90
Долг/EBITDA;;;;;;;;;3.73;1.91;1.57;1.28;1.22;1.18;1.21;1.45;1.70;1.93;2.05;2.30;2.24;2.04;1.73;1.79;1.37;1.27;1.43;1.66;2.03;1.82;1.82;1.76;1.40;1.02;0.80;0.77;0.00;0.23;0.12;0.69;0.63;0.90;1.07;1.20;1.51;1.31;1.74;1.81;1.27;1.12;1.14;1.14
"Персонал, чел";;;;;;;;"19 633";;;"17 520";"17 520";;;;"17 145";;;;"17 220";;;;"17 458";;;;"17 484";;;;"17 891";;;;"18 198";;;;"19 846";;;;"21 839";;;;"23 617";;;;
"Производительность труда, млн руб/чел/год";;;;;;;;1.85;;;2.80;2.71;;;;2.34;;;;2.66;;;;3.40;;;;3.04;;;;3.29;;;;7.03;;;;5.55;;;;5.10;;;;5.79;;;;
"Расходы/чел/год, тыс.р";;;;;;;;219.6;;;240.6;304.1;;;;315.6;;;;294.2;;;;311.8;;;;357.1;;;;385.4;;;;472.9;;;;475.9;;;;583.4;;;;"1 365";;;;
"R&D/CAPEX, %";;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;;13%;12%;16%;24%;13%;20%;32%;25%;16%;26%;25%;27%;20%;13%;18%;28%;16%;13%;16%;20%;12%;16%;16%;27%;14%;16%;12%;23%;11%;13%;9%;13%;6%;11%;11%;19%;9%;16%;12%;22%;13%;16%;19%;16%;11%;11%;11%;12%
"IR рейтинг";;;;;3.4;3.4;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.1;2.9;2.9;2.9;3.1;3.1;3.1;3.1;3.1
"Качество фин.отчетности";;;;;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"Презентации для инвесторов";;;;;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1
"Присутствие на смартлабе";;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Годовой отчет";;;;;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"Сайт для инвесторов";;;;;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"Календарь инвесторов";;;;;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;3;3;5;3;3;3;5;5;5;5;5
"Обратная связь";;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
