;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
P/S;;29.3;25.6;19.1;11.9;8.04;6.01;5.96;5.85;;3.03
P/BV;;-62.9;-46.2;-35.3;-66.0;-68.5;26.5;23.4;-32.5;;-5.72
EV/EBITDA;;124.5;96.1;95.5;30.9;21.6;12.3;12.6;25.3;;12.0
Долг/EBITDA;;-0.04;1.83;1.53;0.44;0.57;0.10;0.37;3.12;;2.61
"Персонал, чел";;;770;875;970;"1 125";"1 562";"2 285";"3 160";;"2 609"
"Производительность труда, млн руб/чел/год";;;3.35;3.94;5.70;6.29;8.83;9.72;7.74;;9.83
"Расходы/чел/год, тыс.р";;;"1 801";"2 366";"2 711";"2 667";"3 041";"3 418";"3 459";;"4 492"
"R&D/CAPEX, %";;76.25%;49.56%;77.78%;94.59%;70.63%;70.59%;64.89%;57.31%;;57.47%
"CAPEX/Выручка, %";;28%;35%;26%;19%;18%;14%;16%;27%;;29%
"IR рейтинг";;;;;;;;;;;4.9
"Качество фин.отчетности";;;;;;;;;;;5
"Презентации для инвесторов";;;;;;;;;;;5
"Присутствие на смартлабе";;;;;;;;;;;5
"Годовой отчет";;;;;;;;;;;5
"Сайт для инвесторов";;;;;;;;;;;4
"Календарь инвесторов";;;;;;;;;;;5
"Обратная связь";;;;;;;;;;;5
