;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"CAPEX, млрд руб";;;;;;;;;;;;;;24.2;21.1;36.3;37.3;34.5;43.9;69.8;81.1;;;79.8;113.4;118.9
"FCF, млрд руб";;;;;;;;;;;;;;17.3;47.2;73.9;72.9;74.1;127.1;98.5;79.6;238.9;;138.9;35.1;-29.8
"Див.выплата, млрд руб";;;;;;;;;12.0;1.32;14.6;20.4;3.72;4.02;19.9;41.7;55.3;84.1;136.7;104.0;129.7;207.7;;152.4;;
"Дивиденд, руб/акцию";;;;;;;;;4;0,22;2,44;3,4;0,62;0,67;3,22;6,95;9,22;14,04;22,81;17,36;21,64;34,66;;25,43;;
"Див доход, ао, %";;;;;;;;;13.3%;0.2%;1.7%;5.4%;1.0%;1.2%;4.8%;11.1%;8.0%;9.5%;14.5%;12.1%;10.4%;15.9%;0.0%;14.2%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;;;;;;;;;67%;84%;71%;90%;99%;98%;120%;145%;56%;0%;73%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;;;72.1;72.1;85.0;80.8;90.8;113.7;145.6;151.9;178.1;185.3
"Себестоимость, млрд руб";;;;;;;;;;;;;;252.5;256.7;335.0;339.1;396.4;482.2;472.2;427.1;460.2;553.5;553.7;595.2;598.4
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;45.4;50.7;56.6
"Расх на персонал, млрд руб";;;;;;;;;;;;;;43.7;43.1;48.0;55.1;56.0;61.6;62.7;65.6;67.0;76.4;80.8;97.6;
"Процентные расходы, млрд руб";;;;;;;;;;;;;;2.58;4.49;4.93;7.02;5.13;4.40;3.17;4.62;4.01;;3.37;1.01;0.724
"Активы, млрд руб";;;;;;;;;;;;;;538.5;582.2;650.1;621.1;633.3;690.8;649.0;728.6;903.4;950.6;"1 124";"1 131";"1 113"
"Чистые активы, млрд руб";;;;;;;;;;;;;;326.4;242.6;374.4;382.8;387.5;404.3;367.1;349.4;476.4;624.0;863.4;859.3;865.4
"Долг, млрд руб";;;;;;;;;;;;;;132.4;106.2;195.0;137.6;133.0;144.2;164.4;257.5;257.5;166.8;92.2;77.5;66.8
"Наличность, млрд руб";;;;;;;;;;;;;;30.9;21.1;25.0;37.0;17.6;81.9;53.9;62.2;40.2;125.4;204.6;148.2;146.8
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;101.5;85.1;170.0;100.6;115.5;62.2;110.6;195.3;217.3;41.4;-112.4;-70.7;-80.0
"Цена акции ао, руб";;;;;;;;;30.2;91.8;144.5;62.8;61.2;55.2;66.8;62.6;115.0;147.2;157.4;143.7;209.0;217.5;117.2;179.3;145.7;109.5
"Число акций ао, млн";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993";"5 993"
"Free Float, %";;;;;;;;;;;;;;;;14.0%;;;;;;;;;21.0%;21.0%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;180.7;550.4;866.3;376.4;366.8;330.7;400.3;375.2;689.1;882.3;943.5;861.3;"1 253";"1 304";702.4;"1 075";873.3;656.3
"EV, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;180.7;550.4;866.3;376.4;366.8;432.2;485.4;545.2;789.7;997.8;"1 006";971.9;"1 448";"1 521";743.8;962.3;802.7;576.2
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;326.4;242.6;350.6;359.8;364.2;377.2;341.7;322.0;450.7;597.3;834.7;830.2;837.3
"EPS, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.96;9.78;10.2;14.1;23.4;14.4;14.9;61.8;27.7;34.9;20.3;14.2
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.89;7.88;12.3;12.2;12.4;21.2;16.4;13.3;39.9;0.00;23.2;5.85;-4.97
"BV/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;54.5;40.5;58.5;60.0;60.8;62.9;57.0;53.7;75.2;99.7;139.3;138.5;139.7
"Рентаб EBITDA, %";;;;;;;;;;;;;;13.8%;32.9%;24.3%;25.2%;26.4%;29.8%;24.3%;28.6%;0.0%;0.0%;29.3%;26.2%;0
"Чистая рентаб, %";;;;;;;;;;;;;;1.7%;9.0%;12.0%;12.1%;14.4%;18.5%;12.7%;13.4%;36.0%;18.4%;22.4%;12.4%;9.4%
"Доходность FCF, %";;;;;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;5.2%;11.8%;19.7%;10.6%;8.4%;13.5%;11.4%;6.4%;18.3%;0.0%;12.9%;4.0%;-4.5%
"ROE, %";;;;;;;;;;;;;;1.8%;9.8%;15.7%;16.0%;21.8%;34.7%;23.6%;25.5%;77.7%;26.6%;24.2%;14.2%;9.8%
"ROA, %";;;;;;;;;;;;;;1.1%;4.1%;9.0%;9.9%;13.4%;20.3%;13.3%;12.2%;41.0%;17.5%;18.6%;10.8%;7.6%
P/E;;;;;;;;;;;;;;54.9;16.9;6.40;11.2;10.4;6.73;9.95;14.0;3.52;4.23;5.14;7.17;7.71
P/FCF;;;;;;;;;;;;;;19.1;8.48;5.08;9.46;11.9;7.42;8.75;15.7;5.46;;7.74;24.9;-22.0
P/S;;;;;;;;;;;;;;0.95;1.52;0.77;1.36;1.50;1.25;1.26;1.88;1.27;0.78;1.15;0.89;0.73
P/BV;;;;;;;;;;;;;;1.01;1.65;1.07;1.92;2.42;2.50;2.52;3.89;2.89;1.18;1.29;1.05;0.78
EV/EBITDA;;;;;;;;;;;;;;9.01;5.61;4.59;6.16;6.45;4.46;5.86;7.59;;;3.52;3.12;
Долг/EBITDA;;;;;;;;;;;;;;2.12;0.98;1.43;0.79;0.75;0.28;0.67;1.02;;;-0.41;-0.28;
"Персонал, чел";;;;;;;;;;;;;;;"60 100";"56 700";"54 000";"53 200";"53 300";"52 800";"43 600";"42 600";"42 700";"43 200";"44 200";
"Производительность труда, млн руб/чел/год";;;;;;;;;;;;;;;4.37;8.60;9.42;11.0;14.2;12.9;15.3;24.2;21.1;21.6;22.2;
"Расходы/чел/год, тыс.р";;;;;;;;;;;;;;;716.4;847.4;"1 020";"1 052";"1 156";"1 188";"1 504";"1 573";"1 789";"1 871";"2 209";
"R&D/CAPEX, %";;;;;;;;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;;;;;;;;;;;7%;8%;7%;7%;6%;6%;10%;12%;0%;0%;9%;12%;13%
