;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;-40.1;-11.3;0.00;0.00;-39.2;-37.2;-42.6;-60.3;-34.1;-47.4;-55.9;-54.0;-63.4
"Активы банка, млрд руб";;;;;;;409.4;521.6;562.5;580.3;606.9;673.0;673.7;730.2;796.6;839.3;"1 057";"1 137";"1 353"
"Капитал, млрд руб";;;;;40.0;40.3;47.7;51.3;56.8;60.9;70.3;74.6;80.1;88.7;97.0;144.8;173.9;201.4;221.6
"Кредитный портфель, млрд руб";;;;;;;250.9;343.7;370.3;354.3;357.7;338.0;401.5;459.3;513.9;553.7;686.3;751.0;883.2
"Кредиты юрлицам, млрд руб";;;;;;;;;283.6;256.6;245.0;253.0;298.5;344.0;378.6;416.7;527.4;578.9;758.7
"Кредиты физлицам, млрд руб";;;;;;;;;51.7;58.2;73.0;86.0;99.1;111.0;131.9;137.0;158.9;163.2;186.3
"Депозиты, млрд руб";;;;;;;253.1;308.5;326.0;333.3;353.0;414.0;417.6;479.1;505.2;641.3;646.4;711.1;852.0
"Депозиты юрлиц, млрд руб";;;;;;;;;138.0;145.9;147.4;165.0;168.6;194.9;204.2;333.0;250.9;274.7;360.0
"Депозиты физлиц, млрд руб";;;;;;;;;188.1;187.4;205.6;249.0;249.0;276.0;295.1;328.3;395.6;436.4;492.1
"Резервы под обесценивание, млрд руб";;;;;;;25.9;28.4;35.0;39.6;39.5;39.8;33.4;39.8;40.1;42.6;34.6;33.3;35.1
"Дост.осн капитала, %";;;;;;9.90%;10.8%;10.2%;9.90%;8.91%;10.0%;13.4%;11.5%;9.60%;11.2%;18.1%;18.6%;20.4%;17.3%
"Дост. общ капитала, %";;;;;;13.8%;14.3%;13.3%;15.6%;14.4%;14.1%;17.2%;14.8%;13.5%;13.4%;20.3%;20.3%;21.8%;21.5%
"Стоимость риска (CoR), %";;;;;1.62%;2.67%;1.72%;2.35%;3.44%;3.45%;2.69%;1.91%;1.80%;2.10%;1.10%;1.30%;-0.700%;0.800%;1.62%
"Расходы/Доходы (CIR), %";;;;;;;;;;;;;;;;;;;26.1%
"Loan-to-deposit ratio, %";;;;;;;99%;111%;114%;106%;101%;82%;96%;96%;102%;86%;106%;106%;104%
"Просроченные кредиты, NPL, %";;;;;;;;;5.90%;6.00%;5.40%;10.8%;9.20%;10.4%;8.90%;8.50%;5.20%;4.70%;
"Цена акции ао, руб";;33.2;84.0;170.0;72.5;49.8;42.0;24.5;43.6;67.0;58.8;44.3;56.3;51.8;82.1;100.0;215.6;367.0;324.3
"Число акций ао, млн";475.6;;;;499.6;439.6;439.6;439.6;439.6;439.6;499.6;487.6;475.6;475.6;461.9;461.9;461.9;457.5;457.5
"Цена акции ап, руб";;;;;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;18.9;25.4;48.6;52.1;51.0
"Число акций ап, млн";20.1;;;;20.1;20.1;20.1;20.1;20.1;20.1;20.1;20.1;20.1;20.1;20.1;20.1;20.1;20.1;20.1
"Free Float, %";;;;;;;;27.3%;32.4%;34.6%;37.8%;39.2%;35.2%;35.2%;;;;;28.0%
"Инсайдерское владение, %";;;;;;;;52.3%;53.2%;52.5%;;60.8%;50.6%;51.8%;;;;;
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;36.2;21.9;18.5;10.8;19.2;29.5;29.4;21.6;26.8;24.6;38.3;46.7;100.6;169.0;149.4
"EV, млрд руб";0.00;0.00;0.00;0.00;36.2;21.9;-21.6;-0.53;19.2;29.5;-9.81;-15.6;-15.8;-35.6;4.27;-0.66;44.7;115.0;86.0
"EPS, руб";4.21;;;;11.8;2.97;15.2;10.9;8.23;9.74;15.0;18.3;16.6;22.7;39.2;102.8;103.5;109.9;100.9
"ROE, %";20.6%;16.4%;2.9%;15.3%;17.2%;3.2%;15.2%;9.7%;6.7%;7.3%;11.4%;12.4%;10.2%;12.9%;;;;;16.0%
"ROA, %";;;;;;;;;;0.8%;1.3%;1.4%;1.4%;1.5%;;;;;
"Чистая процентная маржа, %";;;;;4.80%;3.90%;3.90%;4.40%;3.50%;4.06%;3.50%;3.60%;3.70%;3.90%;;;5.90%;7.00%;7.21%
"Рентабельность банка, %";;;;;36.6%;8.63%;37.3%;21.5%;12.9%;13.8%;22.6%;27.2%;25.6%;28.5%;40.7%;;64.9%;54.0%;
P/E;0.00;0.00;0.00;0.00;6.16;16.8;2.76;2.25;5.30;6.89;3.92;2.42;3.39;2.28;2.12;0.98;2.10;3.36;3.24
P/B;;;;;0.91;0.54;0.39;0.21;0.34;0.48;0.42;0.29;0.33;0.28;0.40;0.32;0.58;0.84;0.67
"Персонал, чел";;;;;;;;;;"3 981";"4 133";"3 860";"4 258";"4 220";;;;;
"Производительность труда, млн руб/чел/год";;;;;;;;;;7.81;8.04;8.50;7.26;8.98;;;;;
"Расходы/чел/год, тыс.р";;;;;;;;;;"1 414";"1 445";"1 539";"1 516";"1 796";;;;;
